System,State,Headline,Sentiment_1,Sentiment_2,Sentiment_2 Numerical,Metadata
Aquaculture,New South Wales,A Limeburners Creek dam could damage Port Stephens oyster industry,,Negative,1,Tasmanian Times28 Octbookmark_bordersharemore_vert
Aquaculture,Northern Territory,A test to diagnose psychopaths can help identify fish behaviours that could benefit aquaculture,,Positive,3,The Conversation AU16 Septbookmark_bordersharemore_vert
Aquaculture,Western Australia,"â€˜Are we progressive? My oath we are!â€™ A localâ€™s guide to Albany, Western Australia",,NA,0,The Guardian22 June 2021bookmark_bordersharemore_vert
Aquaculture,Tasmania,â€˜Battery-hen farming of the seaâ€™: sustainable alternatives to eating salmon,,Negative,1,Premier of Tasmania15 Decbookmark_bordersharemore_vert
Aquaculture,Tasmania,â€˜Flames of rageâ€™ over salmon farm plans,,Negative,1,Tasmania Examiner28 Septbookmark_bordersharemore_vert
Aquaculture,Northern Territory,â€˜Flames of rageâ€™ over salmon farm plans,,Negative,1,ABC Newsbookmark_bordersharemore_vert
Aquaculture,Queensland,"â€˜Larger than lifeâ€™: Beloved Coast businessman, pioneer dies",,NA,0,Source29 Julybookmark_bordersharemore_vert
Aquaculture,Tasmania,â€˜Toxicâ€™ authorâ€™s dire warning over Huon Aquaculture sale,,Negative,1,Premier of Tasmania6 Augbookmark_bordersharemore_vert
Aquaculture,South Australia,Abalone farmer grows shellfish aquaculture portfolio,,Neutral,2,The Mercury6 AugOpinionbookmark_bordersharemore_vert
Aquaculture,Tasmania,Abalone producer Yumbah Aquaculture buys Tasmanian oyster grower,,Neutral,2,The Examiner10 days agobookmark_bordersharemore_vert
Aquaculture,Northern Territory,Abandoned fishing nets entangling thousands of animals a year,,NA,0,Hit 10728 Septbookmark_bordersharemore_vert
Aquaculture,Tasmania,Aboriginal Fisheries Officer to lead consultation on sea country,,Neutral,2,Tasmania Examiner15 May 2021bookmark_bordersharemore_vert
Aquaculture,Victoria,Activists warn suitors circling Tassie salmon producer,,Negative,1,ABC News26 Julybookmark_bordersharemore_vert
Aquaculture,New South Wales,Activists warn suitors circling Tassie salmon producer,,Negative,1,ABC Newsbookmark_bordersharemore_vert
Aquaculture,Northern Territory,Activists warn suitors circling Tassie salmon producer,,Negative,1,Tasmania Examiner2 Feb 2021bookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,"'Agrifood' hub aims to provide jobs, boost economy",,Positive,3,Tasmanian Times12 Novbookmark_bordersharemore_vert
Aquaculture,South Australia,Agrosuper S.,,NA,0,The Examiner23 Octbookmark_bordersharemore_vert
Aquaculture,Tasmania,AI breakthrough in Tassie salmon farming,,Positive,3,The Mercury18 Septbookmark_bordersharemore_vert
Aquaculture,Queensland,"Albany Aquaculture Zone to boost investment, growth and jobs",,Positive,3,ABC News5 Decbookmark_bordersharemore_vert
Aquaculture,South Australia,"Albany Aquaculture Zone to boost investment, growth and jobs",,Positive,3,ABC News25 Novbookmark_bordersharemore_vert
Aquaculture,Victoria,"Albany Aquaculture Zone to boost investment, growth and jobs",,Positive,3,The Guardian Australia12 Decbookmark_bordersharemore_vert
Aquaculture,New South Wales,"Albany Aquaculture Zone to boost investment, growth and jobs",,Positive,3,ABC News5 Feb 2021bookmark_bordersharemore_vert
Aquaculture,Northern Territory,"Albany Aquaculture Zone to boost investment, growth and jobs",,Positive,3,Foodprocessing12 Augbookmark_bordersharemore_vert
Aquaculture,Western Australia,Albany set to be 'jewel in the crown' of WA oyster industry after expansion,,NA,0,ABC Newsbookmark_bordersharemore_vert
Aquaculture,Victoria,Albury anglers take advantage of lockdown to snag trophy fish,,NA,0,ABC News29 Julybookmark_bordersharemore_vert
Aquaculture,New South Wales,Albury anglers take advantage of lockdown to snag trophy fish,,NA,0,FOOD Magazine - Australia21 June 2021bookmark_bordersharemore_vert
Aquaculture,Queensland,Algae answer to aquaculture wastewater problem,,Negative,1,Tasmanian Labor2 Decbookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,Amendments to Fisheries and Coastal Resources Act,,NA,0,The Examiner9 Octbookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,America is hooked on seafood imports. We need to expand aquaculture in federal waters,,Positive,3,The Mercury21 AugOpinionbookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,An exotic opportunity for a seaweed aquaculture intern,,NA,0,ABC News23 Jan 2021bookmark_bordersharemore_vert
Aquaculture,Western Australia,Andrew Forrest is now a big fish in ocean farming,,NA,0,Premier of Tasmania2 Augbookmark_bordersharemore_vert
Aquaculture,Western Australia,Andrew Forrest says concerns over 'pillaging' of oceans prompted aquaculture push,,Positive,3,The Advocate21 June 2021bookmark_bordersharemore_vert
Aquaculture,Tasmania,Andrew Forrest takes $20m stake in Tasmaniaâ€™s controversial salmon industry,,Negative,1,Junkee23 Septbookmark_bordersharemore_vert
Aquaculture,Queensland,Andrew Forrest takes $20m stake in Tasmaniaâ€™s controversial salmon industry,,Negative,1,The Mercury17 Decbookmark_bordersharemore_vert
Aquaculture,Victoria,Andrew Forrest takes $20m stake in Tasmaniaâ€™s controversial salmon industry,,Negative,1,NADividend growth investing special mention: Tassal (ASX:TGR)Rask Media17 Decbookmark_bordersharemore_vert
Aquaculture,New South Wales,Andrew Forrest takes $20m stake in Tasmaniaâ€™s controversial salmon industry,,Negative,1,Tasmanian Greens MPs25 Mar 2021bookmark_bordersharemore_vert
Aquaculture,Western Australia,Andrew Forrest takes $20m stake in Tasmaniaâ€™s controversial salmon industry,,Negative,1,Tasmania Examiner27 Feb 2021bookmark_bordersharemore_vert
Aquaculture,Queensland,"Andrew Forrest's Harvest Road quits WA Aquaculture Council, reportedly poaches executive officer",,Neutral,2,Water â€“ Aquaculture NutrientsTasmanian Greens MPs1 Decbookmark_bordersharemore_vert
Aquaculture,South Australia,"Andrew Forrest's Harvest Road quits WA Aquaculture Council, reportedly poaches executive officer",,Neutral,2,Premier of Tasmania29 June 2021bookmark_bordersharemore_vert
Aquaculture,Western Australia,"Andrew Forrest's Harvest Road quits WA Aquaculture Council, reportedly poaches executive officer",,Neutral,2,NABicheno abalone gets green tick from ASCThe Examiner23 Octbookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,"Andrew Forrest's Harvest Road quits WA Aquaculture Council, reportedly poaches executive officer",,Neutral,2,The Mercurybookmark_bordersharemore_vert
Aquaculture,Queensland,"Andrew 'Twiggy' Forrest's biggest buys in 2021: From medicinal cannabis to Canadian nickel, he's bought it all",,NA,0,The Fish Site2 July 2021bookmark_bordersharemore_vert
Aquaculture,Northern Territory,Animal welfare lobby splits over â€˜false impressionâ€™ salmon certification,,Negative,1,The Advocate3 Novbookmark_bordersharemore_vert
Aquaculture,Tasmania,Another farmed salmon mass breakout in Tasmanian waters stuns Huon Aquaculture,,Negative,1,The Fish Site15 Septbookmark_bordersharemore_vert
Aquaculture,Northern Territory,Another farmed salmon mass breakout in Tasmanian waters stuns Huon Aquaculture,,Negative,1,Tasmanian Times14 Novbookmark_bordersharemore_vert
Aquaculture,Queensland,A-peeling grant backs prawn farmers to go digital,,Positive,3,The Fish Sitebookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,Aqua,,NA,0,The Mercury26 June 2021bookmark_bordersharemore_vert
Aquaculture,Western Australia,Aquaculture - The Start Of A Booming Industry For WAParticlebookmark_bordersharemore_vert,,Positive,3,The Mercury3 Novbookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,Aquaculture Act proposed for Canada,,NA,0,FundMe launched for family run over at camping groundThe Mercury10 days agobookmark_bordersharemore_vert
Aquaculture,South Australia,"Aquaculture Additives Market Size, Trends, Forecast to 2029 | Key Players â€“ Alltech, Cargill, Norel SA, BIOMIN Holding Gmb",,Neutral,2,SeafoodSource1 Septbookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,Aquaculture and Social License to Operate - World Aquaculture Societywas.org21 June 2021bookmark_bordersharemore_vert,,Neutral,2,Hakai Magazine15 Septbookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,Aquaculture benefits Florida and our oceans | Column,,Positive,3,The Advocate5 Octbookmark_bordersharemore_vert
Aquaculture,Victoria,Aquaculture boom at our fingertips: study,,Neutral,2,The Guardianbookmark_bordersharemore_vert
Aquaculture,New South Wales,Aquaculture boom at our fingertips: study,,Neutral,2,Tasmania Examiner22 June 2021bookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,Aquaculture boom at our fingertips: study,,Neutral,2,NABook review: Acclaimed Australian author takes on local 'salmon barons'Nikkei Asia11 Julybookmark_bordersharemore_vert
Aquaculture,Victoria,"Aquaculture boom at our fingertips: study | Bay Post-Moruya Examiner | Batemans Bay, NSWBay Post/Moruya Examiner7 Decbookmark_bordersharemore_vert",,Neutral,2,ABC News23 Novbookmark_bordersharemore_vert
Aquaculture,New South Wales,"Aquaculture boom at our fingertips: study | Bay Post-Moruya Examiner | Batemans Bay, NSWBay Post/Moruya Examiner7 Decbookmark_bordersharemore_vert",,Neutral,2,Premier of Tasmania11 Augbookmark_bordersharemore_vert
Aquaculture,South Australia,"Aquaculture boom at our fingertips: study | The Times | Victor Harbor, SAVictor Harbor Times7 Decbookmark_bordersharemore_vert",,Neutral,2,Grain Central21 June 2021bookmark_bordersharemore_vert
Aquaculture,Queensland,Aquaculture could see Rockhampton known as more than just Australia's beef capital,,Positive,3,Undercurrent News29 Julybookmark_bordersharemore_vert
Aquaculture,Victoria,Aquaculture could see Rockhampton known as more than just Australia's beef capital,,Positive,3,ABC Newsbookmark_bordersharemore_vert
Aquaculture,New South Wales,Aquaculture could see Rockhampton known as more than just Australia's beef capital,,Positive,3,ABC Onlinebookmark_bordersharemore_vert
Aquaculture,Northern Territory,Aquaculture critic presses for answers after another salmon die-off,,Negative,1,The Mercurybookmark_bordersharemore_vert
Aquaculture,South Australia,"Aquaculture Healthcare Market In-Depth Analysis including Development Strategy, Regional Analysis, Key Segmentation by Major Companies | Archer Daniels Midland Company, Benchmark PLC, Ceva Sante, Du",,Neutral,2,Fish Farmer Magazine1 Mar 2021bookmark_bordersharemore_vert
Aquaculture,Queensland,Aquaculture hub to kickstart northern industry,,Positive,3,ABC Newsbookmark_bordersharemore_vert
Aquaculture,Victoria,Aquaculture in Southeast Asia,,Neutral,2,NAFur seals â€˜subjected to horrible practicesâ€™The Mercury19 June 2021bookmark_bordersharemore_vert
Aquaculture,New South Wales,Aquaculture in Southeast Asia,,Neutral,2,ABC Onlinebookmark_bordersharemore_vert
Aquaculture,Victoria,Aquaculture inquiry to hear about NT biosecurity concerns,,Neutral,2,NAJBS's Aussie aquaculture investment provides 'platform for new global growth'Beef Central18 Augbookmark_bordersharemore_vert
Aquaculture,New South Wales,Aquaculture inquiry to hear about NT biosecurity concerns,,Neutral,2,ABC News2 Septbookmark_bordersharemore_vert
Aquaculture,Northern Territory,Aquaculture inquiry to hear about NT biosecurity concerns,,Neutral,2,"NAHuon Aquaculture confirms 120,000 salmon escaped in May storms, amid calls for more industry 'transparency'ABC Newsbookmark_bordersharemore_vert"
Aquaculture,Australian Capital Territory,Aquaculture inquiry to hear about NT biosecurity concerns,,Neutral,2,InDaily10 Septbookmark_bordersharemore_vert
Aquaculture,South Australia,Aquaculture Is Key To Meet Increasing Food Demand: FAOOutlook India25 Septbookmark_bordersharemore_vert,,Positive,3,FeedNavigator.com25 May 2021bookmark_bordersharemore_vert
Aquaculture,South Australia,Aquaculture is now the largest sector of the seafood industry,,Positive,3,Fish Farmer Magazine16 Novbookmark_bordersharemore_vert
Aquaculture,South Australia,Aquaculture Market Report by Technavio estimates $ 48.88 Bn growth during 2020-2024,,Positive,3,The Fish Site20 Octbookmark_bordersharemore_vert
Aquaculture,South Australia,"Aquaculture Market: Value Chain, Stakeholder Analysis and Trends and Top Key Companies | American Abalone Farms, Austevoll Seafood ASA, LerÃ¸y Seafood Group ASA, Bakkafrost â€“ Industrial ITIndustrial IT4 days agobookmark_bordersharemore_vert",,Neutral,2,ABC Onlinebookmark_bordersharemore_vert
Aquaculture,South Australia,"Aquaculture Parasiticides Market to Witness Growth Acceleration | Novartis AG, Virbac SA, Boehringer Ingelheim â€“ Industrial ITIndustrial IT4 days agobookmark_bordersharemore_vert",,Positive,3,The Guardianbookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,Aquaculture pioneer honoured by Atlantic Canada salmon farmers,,Positive,3,ABC Newsbookmark_bordersharemore_vert
Aquaculture,Western Australia,"Aquaculture propels First Nations, tribal communities towards â€˜self-relianceâ€™Sea",,Positive,3,ABC Onlinebookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,Aquaculture researchers raise concerns over probiotic safety,,Negative,1,ABC Onlinebookmark_bordersharemore_vert
Aquaculture,Queensland,Aquaculture sector in Queensland set for boost,,Positive,3,NAGreens label decision by incomplete fish farm panel in Tasmania an 'outrage'ABC Newsbookmark_bordersharemore_vert
Aquaculture,South Australia,"Aquaculture Therapeutics Industry Market 2020 Global Industry Size, Revenue Growth Development, Business Opportunities, Future Trends, Top Key Players, Market Share and Global Analysis by Forecast to 2024 â€“ Industrial ITIndustrial IT2 days agobookmark_bordersharemore_vert",,Neutral,2,ABC Newsbookmark_bordersharemore_vert
Aquaculture,Queensland,Aquaculture to make a splash in northern Australia,,Neutral,2,"NAGiant salmon ships bound for Tasmania, as local sailors told to 'be on the look out'ABC Newsbookmark_bordersharemore_vert"
Aquaculture,South Australia,Aquaculture: Five tips to get started,,Neutral,2,ABC Newsbookmark_bordersharemore_vert
Aquaculture,Victoria,Aquacultureman: Take a peek inside the land-based fish farm breeding 80% of Australia's barramundi,,Neutral,2,The Fish Site5 Mar 2021bookmark_bordersharemore_vert
Aquaculture,New South Wales,Aquacultureman: Take a peek inside the land-based fish farm breeding 80% of Australia's barramundi,,Neutral,2,ApproachToSalmon campaignSeafoodSourcebookmark_bordersharemore_vert
Aquaculture,Victoria,Aquaponics on the rise as more people turn to fish poo to grow fresh produce,,Positive,3,Courier Mail16 Decbookmark_bordersharemore_vert
Aquaculture,New South Wales,Aquaponics on the rise as more people turn to fish poo to grow fresh produce,,Positive,3,The Fish Site6 Augbookmark_bordersharemore_vert
Aquaculture,Northern Territory,Aquaponics on the rise as more people turn to fish poo to grow fresh produce,,Positive,3,Queensland Country Life12 Julybookmark_bordersharemore_vert
Aquaculture,Western Australia,Aquaponics on the rise as more people turn to fish poo to grow fresh produce,,Positive,3,The Fish Site27 Julybookmark_bordersharemore_vert
Aquaculture,South Australia,Aqua-Spark and Semapa Next co-lead series B round for Oceano Fresco,,Neutral,2,North Queensland Register24 Augbookmark_bordersharemore_vert
Aquaculture,Victoria,Aquna Murray Cod reels in first prize at state produce awards,,NA,0,Media Statements25 Feb 2021bookmark_bordersharemore_vert
Aquaculture,New South Wales,Aquna Murray Cod reels in first prize at state produce awards,,NA,0,The Fish Site5 Octbookmark_bordersharemore_vert
Aquaculture,Queensland,Aratula irrigation properties head to auction,,NA,0,Media Statements5 Decbookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,"As the tide rises, Indonesia struggles to save the livingâ€”and the dead",,NA,0,Media Statements3 Decbookmark_bordersharemore_vert
Aquaculture,Tasmania,ASC responds to concerns over aquaculture standards,,Neutral,2,Queensland Country Life26 Julybookmark_bordersharemore_vert
Aquaculture,South Australia,Asia's Booming Fish Farms Raise Environmental and Health Alarm,,Negative,1,Media Statements30 June 2021bookmark_bordersharemore_vert
Aquaculture,Tasmania,Atlantic salmon: Open-net feedlots must not be used in Tasmania,,Negative,1,Courier Mail28 Septbookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,Atlantic salmon: Open-net feedlots must not be used in Tasmania,,Negative,1,North Queensland Registerbookmark_bordersharemore_vert
Aquaculture,Victoria,Aussie company turns away from China,,NA,0,North Queensland Registerbookmark_bordersharemore_vert
Aquaculture,New South Wales,Aussie company turns away from China,,NA,0,North Queensland Registerbookmark_bordersharemore_vert
Aquaculture,Queensland,Aussie Helpers experiments with aquaculture,,Neutral,2,Townsville Bulletin12 Augbookmark_bordersharemore_vert
Aquaculture,South Australia,Aussie oyster grower aims to double production,,Neutral,2,Courier Mail14 Novbookmark_bordersharemore_vert
Aquaculture,Western Australia,"Australia first for Andrew Forrest's Leeuwin Coast aquaculture, with carbon neutral certification",,Neutral,2,The West Australian29 Decbookmark_bordersharemore_vert
Aquaculture,Victoria,Australian Farmer of the Year 2018 sees family founders of Huon Aquaculture take first top gong for seafood,,Neutral,2,North Queensland Registerbookmark_bordersharemore_vert
Aquaculture,New South Wales,Australian Farmer of the Year 2018 sees family founders of Huon Aquaculture take first top gong for seafood,,Neutral,2,Noosa Today11 Decbookmark_bordersharemore_vert
Aquaculture,Northern Territory,"Australian mega shrimp farm brings new CEO, CFO onboard as it enters critical stage",,Neutral,2,Queensland Country Lifebookmark_bordersharemore_vert
Aquaculture,Queensland,Australians bid to boost banana prawn farming,,Positive,3,ABC Newsbookmark_bordersharemore_vert
Aquaculture,Northern Territory,Australians bid to boost banana prawn farming,,Positive,3,North Queensland Registerbookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,Australians bid to boost banana prawn farming,,Positive,3,Ararat Advertiser1 hour agobookmark_bordersharemore_vert
Aquaculture,Western Australia,Australians team up for 600-tonne abalone venture,,Neutral,2,ABC News2 Augbookmark_bordersharemore_vert
Aquaculture,Tasmania,"Australia's aquaculture sector grew amid COVID-19, but production expected to drop in 2021",,Neutral,2,ABC News20 Augbookmark_bordersharemore_vert
Aquaculture,Tasmania,Australia's emerging seaweed startups,,Neutral,2,Courier Mail9 Novbookmark_bordersharemore_vert
Aquaculture,South Australia,Australia's emerging seaweed startups,,Neutral,2,North Queensland Register30 Augbookmark_bordersharemore_vert
Aquaculture,Victoria,Australia's emerging seaweed startups,,Neutral,2,ABC News14 June 2021bookmark_bordersharemore_vert
Aquaculture,New South Wales,Australia's emerging seaweed startups,,Neutral,2,Cessnock Advertiser1 hour agobookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,Australia's emerging seaweed startups,,Neutral,2,The Fish Site25 June 2021bookmark_bordersharemore_vert
Aquaculture,Western Australia,"Australia's marine industries deliver $80b a year. But without more scientists, the 'blue economy' is at risk",,NA,0,ABC Newsbookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,"Australia's marine industries deliver $80b a year. But without more scientists, the 'blue economy' is at risk",,NA,0,The Fish Site30 Septbookmark_bordersharemore_vert
Aquaculture,Northern Territory,Australia's Northern Territory bans mining in coastal waters,,NA,0,North Queensland Registerbookmark_bordersharemore_vert
Aquaculture,Tasmania,Balancing the scales with responsible aquaculture,,Neutral,2,Queensland Country Life24 Augbookmark_bordersharemore_vert
Aquaculture,Queensland,Balancing the scales with responsible aquaculture,,Neutral,2,The Fish Site12 Octbookmark_bordersharemore_vert
Aquaculture,Victoria,Balancing the scales with responsible aquaculture,,Neutral,2,The Fish Site23 May 2021bookmark_bordersharemore_vert
Aquaculture,New South Wales,Balancing the scales with responsible aquaculture,,Neutral,2,Media Statements26 Septbookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,Bangladesh desperately needs a comprehensive maritime law,,NA,0,North Queensland Registerbookmark_bordersharemore_vert
Aquaculture,Western Australia,Barramundi farm offers new hope for Indigenous community in WA's remote Kimberley,,Positive,3,ABC News2 Novbookmark_bordersharemore_vert
Aquaculture,Tasmania,BBF recruits anti-jobs campaigner in new low,,NA,0,ABC Newsbookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,BFAR sees completion of 32 hatcheries in 2022pna.gov.ph13 Decbookmark_bordersharemore_vert,,NA,0,ABC News29 Septbookmark_bordersharemore_vert
Aquaculture,Tasmania,Bicheno abalone gets green tick from ASCThe Examiner23 Octbookmark_bordersharemore_vert,,Positive,3,North Queensland Registerbookmark_bordersharemore_vert
Aquaculture,South Australia,Bicheno abalone gets green tick from ASCThe Examiner23 Octbookmark_bordersharemore_vert,,Positive,3,The Canberra Times27 Octbookmark_bordersharemore_vert
Aquaculture,Western Australia,Big moves on WA rich list,,NA,0,The Australian3 days agobookmark_bordersharemore_vert
Aquaculture,Western Australia,Big plans for marron industry,,NA,0,ABC Newsbookmark_bordersharemore_vert
Aquaculture,Tasmania,Big Salmon Ducks Scrutiny on Mass Wildlife Deaths,,Negative,1,ABC News27 Augbookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,Bill Reboot: The AQUAA Act is back,,NA,0,NEWS27 Septbookmark_bordersharemore_vert
Aquaculture,Tasmania,Bill tabled to support offshore Marine Aquaculture Research,,Positive,3,ABC Newsbookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,Bill Text - AB-303 Aquaculture: mariculture production and restoration: pilot program.,,Neutral,2,The Fish Site17 Septbookmark_bordersharemore_vert
Aquaculture,Western Australia,Billionaire Forrest Urges Australia Panel to Hold JBS to Account,,NA,0,Courier Mail24 Julybookmark_bordersharemore_vert
Aquaculture,Queensland,Blackbutt's Bindanoon sets the scene,,NA,0,The Australian Financial Reviewbookmark_bordersharemore_vert
Aquaculture,Tasmania,Book review: Acclaimed Australian author takes on local 'salmon barons'Nikkei Asia11 Julybookmark_bordersharemore_vert,,Neutral,2,UQ Newsbookmark_bordersharemore_vert
Aquaculture,Victoria,Boosting oyster supply,,Neutral,2,Food & Drink Business3 Decbookmark_bordersharemore_vert
Aquaculture,New South Wales,Boosting oyster supply,,Neutral,2,The Fish Site20 Octbookmark_bordersharemore_vert
Aquaculture,Tasmania,Brazilâ€™s Batista Brothers Invited to Tasmania After Purchase of Huon Aquaculture,,Neutral,2,ABC News21 Novbookmark_bordersharemore_vert
Aquaculture,Tasmania,Breeding programme aims to save Australian oysters,,Positive,3,Your Neighbourhoodbookmark_bordersharemore_vert
Aquaculture,South Australia,Breeding programme aims to save Australian oysters,,Positive,3,Queensland Country Life24 May 2021bookmark_bordersharemore_vert
Aquaculture,Victoria,Breeding programme aims to save Australian oysters,,Positive,3,The Guardian22 June 2021bookmark_bordersharemore_vert
Aquaculture,New South Wales,Breeding programme aims to save Australian oysters,,Positive,3,Sydney Morning Herald27 Novbookmark_bordersharemore_vert
Aquaculture,South Australia,Briefcase: Business snippets from around SAIn,,NA,0,ABC News25 Novbookmark_bordersharemore_vert
Aquaculture,Western Australia,"Buccaneer Archipelago, Dampier Peninsula marine park plan sparks debate over who has the right to fish",,NA,0,Media Statements9 Septbookmark_bordersharemore_vert
Aquaculture,Queensland,Burdekin Shire to be home to Australia's first high tech aquaculture farm,,Neutral,2,Mirage Newsbookmark_bordersharemore_vert
Aquaculture,Victoria,Call for local Fisheries officers - Central Coast News,,NA,0,NATassal to sell 6000ha of land as prawn sales grow by 786%Courier Mail19 Mar 2021bookmark_bordersharemore_vert
Aquaculture,New South Wales,Call for local Fisheries officers - Central Coast News,,NA,0,North Queensland Registerbookmark_bordersharemore_vert
Aquaculture,Queensland,Call to ban commercial fishing in Gulf of Carpentaria sparks backlash from local fishers,,NA,0,ABC News26 Feb 2021bookmark_bordersharemore_vert
Aquaculture,Tasmania,Calls for independent salmon testing after lab tests allegedly show higher fat content than industry figures,,Negative,1,NAJBS's Aussie aquaculture investment provides 'platform for new global growth'Beef Central18 Augbookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,Can aquaculture really take the pressure off capture fisheries?,,Neutral,2,ABC Onlinebookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,Can Bangladesh's pangasius sector comply with sustainability certification?,,Neutral,2,Foodprocessing12 Augbookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,Canada contemplating new Aquaculture Act; DFO leading public consultations,,Neutral,2,Media Statementsbookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,Canada sees net gains from proposed Aquaculture Act,,Positive,3,ABC Onlinebookmark_bordersharemore_vert
Aquaculture,Northern Territory,Canadian aquaculture company could battle JBS in Huon takeover,,Neutral,2,NEWS.com.au18 Novbookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,Canadian fish farmers get a code of practice,,Neutral,2,Media Statements9 May 2021bookmark_bordersharemore_vert
Aquaculture,South Australia,Carnegie to power moored and aquaculture vessels with wave energy,,Neutral,2,ABC News25 Feb 2021bookmark_bordersharemore_vert
Aquaculture,Victoria,Carnegie to power moored and aquaculture vessels with wave energy,,Neutral,2,Farm Weekly29 Apr 2021bookmark_bordersharemore_vert
Aquaculture,New South Wales,Carnegie to power moored and aquaculture vessels with wave energy,,Neutral,2,FeedNavigator.com25 May 2021bookmark_bordersharemore_vert
Aquaculture,Western Australia,Carnegie to power moored and aquaculture vessels with wave energy,,Neutral,2,ABC News23 Jan 2021bookmark_bordersharemore_vert
Aquaculture,Queensland,Central Qld prawn farm promises new jobs ahead of expansion,,Positive,3,North Queensland Registerbookmark_bordersharemore_vert
Aquaculture,Victoria,Central Qld prawn farm promises new jobs ahead of expansion,,Positive,3,Queensland Country Life24 Augbookmark_bordersharemore_vert
