state,headline,sentiment_1,sentiment_2,agreement_1_2
Australian Capital Territory,Companies want to grow seaweed in California to fight climate change. They're held back by environmental regulations,Positive,Positive,TRUE
Australian Capital Territory,Congress urged to back aquacultural expansion,Positive,Positive,TRUE
Australian Capital Territory,Contrasting fortunes for aquaculture on Canada's east and west coasts,Neutral,Neutral,TRUE
Australian Capital Territory,DEP finds no permit violations associated with recent 'die-off' incident at salmon farm off MDINews,"NA",Neutral,FALSE
Australian Capital Territory,Division of Marine Fisheries accepting applications for CARES Act II Fisheries Relief Program | NC DEQGovernor Roy Cooper13 Augbookmark_bordersharemore_vert,"NA","NA",TRUE
Australian Capital Territory,Ensuring the sustainable growth of the US offshore aquaculture sector,Positive,Positive,TRUE
Australian Capital Territory,Environmentalists call on treasurer to reject Brazilian meat giant’s bid for Tasmanian salmon farmer,Neutral,"NA",FALSE
Australian Capital Territory,Extinction threat as China crisis deepens,"NA","NA",TRUE
Australian Capital Territory,Farmed salmon health claims ‘a big fat lie’ as lab tests prompt investigation call,Negative,"NA",FALSE
Australian Capital Territory,Fish farmers grapple with sustainability challenge,Neutral,Neutral,TRUE
Australian Capital Territory,"Fisheries and Aquaculture Legislation - Fisheries, Forestry and Agriculture","NA","NA",TRUE
Australian Capital Territory,"Forrest, Flanagan Back Land-Based Aquaculture",Neutral,Positive,FALSE
Australian Capital Territory,"Ghana updating its laws, adding patrol boats to fight IUU fishing","NA","NA",TRUE
Australian Capital Territory,"Global seafood supply could shrink if we don’t act now, study says. Here’s why","NA","NA",TRUE
Australian Capital Territory,gov.ie - Aquaculture & Foreshore Management,"NA","NA",TRUE
Australian Capital Territory,Governor Lamont Signs Legislation Supporting Continued Growth of Connecticut's Shellfish Industry,"NA","NA",TRUE
Australian Capital Territory,Griggs lands aqua reform gig,"NA","NA",TRUE
Australian Capital Territory,"How FG spent about N56.9bn on women, youths in 2021 fiscal year","NA","NA",TRUE
Australian Capital Territory,ICES publishes first aquaculture report,Neutral,Neutral,TRUE
Australian Capital Territory,In photos: Land-based aquaculture promises more sustainable seafood,Positive,Positive,TRUE
Australian Capital Territory,Initiative launched to develop Lake Victoria's aquaculture sector,Positive,Neutral,FALSE
Australian Capital Territory,"Japan aims to boost aquaculture exports amid lagging production, declining domestic consumption",Neutral,Neutral,TRUE
Australian Capital Territory,Katters propose Qld seafood label laws,"NA","NA",TRUE
Australian Capital Territory,"Kelly: Aquaculture safe, sustainable way to boost U.",Positive,Positive,TRUE
Australian Capital Territory,Liberia: Africa Rice Ends First-Ever Integrated Rice-Fish Farming Training in South-East Liberia,"NA",Negative,FALSE
Australian Capital Territory,Linking agriculture with fish farming can help feed the world. Here’s how,Positive,"NA",FALSE
Australian Capital Territory,Marine Aquaculture Research Bill out for public comment,Neutral,Neutral,TRUE
Australian Capital Territory,"Minister of Fisheries, Oceans and the Canadian Coast Guard Mandate Letter","NA","NA",TRUE
Australian Capital Territory,Most Canadian aquaculture fisheries meet new U.,Neutral,Neutral,TRUE
Australian Capital Territory,"Most Canadians support ocean-based salmon farming, aquaculture",Neutral,Positive,FALSE
Australian Capital Territory,Mowi fined NOK 800000 over breach of ISA rules – Fish Farmer Magazine,Neutral,"NA",FALSE
Australian Capital Territory,"Mowi Ireland gets go-ahead for Irish farming license, over NGO objections",Neutral,Neutral,TRUE
Australian Capital Territory,"Mowi praised, Cooke lambasted in seafood sustainability rankings",Neutral,Neutral,TRUE
Australian Capital Territory,New Fisheries Act is being drafted to regulate sector - Hawa Koomson,"NA",Neutral,FALSE
Australian Capital Territory,New prawn feed trial offers sustainable alternative,Neutral,Positive,FALSE
Australian Capital Territory,Ngāi Tahu now has scope for aquaculture farming in Murihiku,Neutral,"NA",FALSE
Australian Capital Territory,Nine contenders in the running for $100000 F3 Challenge prize,"NA","NA",TRUE
Australian Capital Territory,NOAA identifies prime places for aquaculture,Neutral,Neutral,TRUE
Australian Capital Territory,NQ freshwater aquaculture opportunity,Positive,Positive,TRUE
Australian Capital Territory,Offshore aquaculture legislation reaches US Senate,Neutral,Neutral,TRUE
Australian Capital Territory,Offshore marine aquaculture research a step closer,Neutral,Positive,FALSE
Australian Capital Territory,Opinion : America has an opportunity in aquaculture. Congress needs to act.,Positive,Positive,TRUE
Australian Capital Territory,"Opinion: Aquaculture is a safe, sustainable complement to the U.",Positive,Positive,TRUE
Australian Capital Territory,Opinion: Aquaculture still in its infant stages 18 years later,Negative,Negative,TRUE
Australian Capital Territory,Ottawa making waves with plans for an aquaculture act,Neutral,Neutral,TRUE
Australian Capital Territory,RE program for agri-fishery sector requires ₧8,"NA","NA",TRUE
Australian Capital Territory,Report from the future: Aotearoa New Zealand is looking good in 2040 – here's how we did it,"NA","NA",TRUE
Australian Capital Territory,SATS pens letter to Biden urging support for aquaculture prioritization,Positive,Positive,TRUE
Australian Capital Territory,Senate Re-Introduction of AQUAA Act Could Be a Cause for Concern – Food Tank,Neutral,"NA",FALSE
Australian Capital Territory,Social media influencers deemed 'a threat' to Australia's budding aquaculture industry,Positive,Positive,TRUE
Australian Capital Territory,Southland Aquaculture Group welcomes call for seaweed body,"NA",Neutral,FALSE
Australian Capital Territory,State government to amend fisheries bill to access to Commonwealth waters,Neutral,"NA",FALSE
Australian Capital Territory,Statement from the Hon. Joyce Murray on a research-based transfer request from Yellow Island Aquaculture Ltd.,Neutral,Neutral,TRUE
Australian Capital Territory,Supply Chain Bottlenecks and Aquaculture - World Aquaculture Societywas.org15 Decbookmark_bordersharemore_vert,Neutral,Neutral,TRUE
Australian Capital Territory,Sustainability and secure access to guide WA's aquatic resources,"NA","NA",TRUE
Australian Capital Territory,Tasmania pledges salmon industry 'reset'The Canberra Times16 Septbookmark_bordersharemore_vert,Neutral,Neutral,TRUE
Australian Capital Territory,Tasmania's salmon industry detonates underwater bombs to scare away seals – but at what cost?,Negative,"NA",FALSE
Australian Capital Territory,The Environmentalist Case for Fish Farming,Positive,Positive,TRUE
Australian Capital Territory,The oceans need our help — now | Opinion - South Florida Sun Sentinel,"NA","NA",TRUE
Australian Capital Territory,The real reason to worry about sharks in Australian waters this summer: 1 in 8 are endangered,"NA","NA",TRUE
Australian Capital Territory,There aren't plenty more fish in the sea,"NA","NA",TRUE
Australian Capital Territory,Too harmful: The march of salt and plastics on world soils,"NA","NA",TRUE
Australian Capital Territory,Two salmon farming chiefs step down in two days,Neutral,Neutral,TRUE
Australian Capital Territory,"US Fisheries, Aquaculture Affected By Focus on Climate Change",Positive,Neutral,FALSE
Australian Capital Territory,"US offshore aquaculture bill supported by Cargill, others reintroduced in Congress",Neutral,"NA",FALSE
Australian Capital Territory,Washington shellfish aquaculture permitting challenged again,Neutral,Neutral,TRUE
Australian Capital Territory,What is aquaculture and can it prevent overfishing?,Positive,Positive,TRUE
Australian Capital Territory,Why Recirculation Aquaculture System (RAS) Is Being Adopted Quickly Across The Globe,Positive,Positive,TRUE
Australian Capital Territory,Zambian president pushes for fast-tracking of fisheries fund,"NA","NA",TRUE
New South Wales,$2.4 million funding to enable fish-based livelihood innovation in Solomon Islands and Timor-Leste,Positive,Positive,TRUE
New South Wales,18 select stores in Sydney will soon start selling Aquna Sustainable Murray Cod,Positive,Positive,TRUE
New South Wales,A Limeburners Creek dam could damage Port Stephens oyster industry,Positive,Negative,FALSE
New South Wales,Activists warn suitors circling Tassie salmon producer,Neutral,Negative,FALSE
New South Wales,"Albany Aquaculture Zone to boost investment, growth and jobs",Positive,Positive,TRUE
New South Wales,Albury anglers take advantage of lockdown to snag trophy fish,"NA","NA",TRUE
New South Wales,Andrew Forrest takes $20m stake in Tasmania’s controversial salmon industry,Negative,"NA",FALSE
New South Wales,Aquaculture boom at our fingertips: study,Positive,Neutral,FALSE
New South Wales,"Aquaculture boom at our fingertips: study | Bay Post-Moruya Examiner | Batemans Bay, NSWBay Post/Moruya Examiner7 Decbookmark_bordersharemore_vert",Positive,Neutral,FALSE
New South Wales,Aquaculture could see Rockhampton known as more than just Australia's beef capital,Positive,Positive,TRUE
New South Wales,Aquaculture in Southeast Asia,Neutral,Neutral,TRUE
New South Wales,Aquaculture inquiry to hear about NT biosecurity concerns,Neutral,Neutral,TRUE
New South Wales,Aquacultureman: Take a peek inside the land-based fish farm breeding 80% of Australia's barramundi,Neutral,Neutral,TRUE
New South Wales,Aquaponics on the rise as more people turn to fish poo to grow fresh produce,Neutral,Positive,FALSE
New South Wales,Aquna Murray Cod reels in first prize at state produce awards,"NA","NA",TRUE
New South Wales,Aussie company turns away from China,"NA","NA",TRUE
New South Wales,Australian Farmer of the Year 2018 sees family founders of Huon Aquaculture take first top gong for seafood,Neutral,Neutral,TRUE
New South Wales,Australia's emerging seaweed startups,Neutral,Neutral,TRUE
New South Wales,Balancing the scales with responsible aquaculture,Neutral,Neutral,TRUE
New South Wales,Boosting oyster supply,Neutral,Neutral,TRUE
New South Wales,Breeding programme aims to save Australian oysters,Positive,Positive,TRUE
New South Wales,Call for local Fisheries officers - Central Coast News,"NA","NA",TRUE
New South Wales,Carnegie to power moored and aquaculture vessels with wave energy,Neutral,Neutral,TRUE
New South Wales,Central Qld prawn farm promises new jobs ahead of expansion,Neutral,Positive,FALSE
New South Wales,Clean Seas Spencer Gulf fish farm bid splits community and exposes tough choices facing regional cities,Negative,Negative,TRUE
New South Wales,Cobia's fine dining success to kick-start multi-million-dollar aquaculture in northern Australia,Positive,Positive,TRUE
New South Wales,"Coming up, Down Under – Fish Farmer Magazine","NA","NA",TRUE
New South Wales,COMMENT: NSW Welfare reform – Beware the Trojan horse,"NA","NA",TRUE
New South Wales,Commercial fishermen no more profitable after controversial fishing reforms in NSWABC Newsbookmark_bordersharemore_vert,"NA","NA",TRUE
New South Wales,Community activism and seals among Tassal's challenges,Positive,Neutral,FALSE
New South Wales,Crayfish could be next boom seafood industry with breakthrough breeding technology,Positive,Positive,TRUE
New South Wales,Cuttlefish battle brewing over kingfish farm plans,Neutral,Negative,FALSE
New South Wales,Deakin’s $10m bid to become aquaculture leader,Neutral,"NA",FALSE
New South Wales,Environmentalists call on treasurer to reject Brazilian meat giant’s bid for Tasmanian salmon farmer,Neutral,"NA",FALSE
New South Wales,Estuaries are warming at twice the rate of oceans and atmosphere,"NA","NA",TRUE
New South Wales,Exmoor Station prawn farm part of northern aquaculture boom,Positive,Neutral,FALSE
New South Wales,Extinction threat as China crisis deepens,"NA","NA",TRUE
New South Wales,"Fears for environment after 50,000 fish escape salmon farm in Tasmania",Negative,Negative,TRUE
New South Wales,Feds on the hook for damages over prawn disease outbreak,Neutral,Negative,FALSE
New South Wales,Fill n' Chill with plenty of Queensland Seafood this Christmas,"NA","NA",TRUE
New South Wales,Fish exclusion screens to stop millions of fish each year being pumped out of the Macquarie River,Negative,"NA",FALSE
New South Wales,Fish farming takes off in Murrumbidgee as restaurants get a taste for Murray cod,Positive,Positive,TRUE
New South Wales,Fisheries expert developed taste for fine viniculture,"NA","NA",TRUE
New South Wales,Fishers left reeling over contentious desal plant site,"NA","NA",TRUE
New South Wales,"Fishing deemed 'COVID- friendly' amid lockdowns, industry welcomes huge take-up in the sport","NA","NA",TRUE
New South Wales,FRDC: How Australian consumers support sustainable seafood,"NA","NA",TRUE
New South Wales,Geraldton fish nursery to be built by WA Government after it rejects two private proposals,Neutral,Neutral,TRUE
New South Wales,"Golden harvest as value of farms, crops rise","NA","NA",TRUE
New South Wales,Goulburn's Marianvale Blue Murray Cod farm destocks due to downturn,Neutral,Negative,FALSE
New South Wales,"Government grants to support Australian ingenuity and create jobs | Ministers for the Department of Industry, Science, Energy and Resources","NA","NA",TRUE
New South Wales,How Tasmania's salmon farms are being cleaned up by author Richard Flanagan,Negative,Negative,TRUE
New South Wales,Huge boost for flathead stocks in NSW South Coast fishing havens!,"NA","NA",TRUE
New South Wales,Huon Aquaculture and NSW DPI transfer yellowtail kingfish into sea pens off Port Stephens,Neutral,Neutral,TRUE
New South Wales,Huon Aquaculture opens Perth processing facility as first step west for Tasmanian seafood giant,Neutral,Neutral,TRUE
New South Wales,Huon Aquaculture takes Tasmanian Government to court over salmon farming in Macquarie Harbour,Neutral,Negative,FALSE
New South Wales,Huon pulls plug on controversial Port Stephens kingfish farm,Negative,Negative,TRUE
New South Wales,Inland fish farming at Murray Cod Farm in New South Wales,Neutral,Neutral,TRUE
New South Wales,"JBS takeover of Huon points to maturing Aussie aquaculture industry, but risks lurk beneath",Neutral,Negative,FALSE
New South Wales,JBS's Aussie aquaculture investment provides 'platform for new global growth'Beef Central18 Augbookmark_bordersharemore_vert,Positive,Positive,TRUE
New South Wales,Jobs of the future: The changing face of our next farmers,"NA","NA",TRUE
New South Wales,Kevin Mason's backyard becomes battleground for Aboriginal fishing rights,"NA","NA",TRUE
New South Wales,"La Nina brings unfavourable weather for oyster growers, some fear they won't meet high Christmas demand",Neutral,Neutral,TRUE
New South Wales,More flatties stocked on the NSW South Coast,"NA","NA",TRUE
New South Wales,Murray cod farmer raises $30 million,Neutral,Neutral,TRUE
New South Wales,National sustainable seafood recognition for Fairy Meadow business Harley & Johns,"NA","NA",TRUE
New South Wales,New $2.5m aquaculture facility planned for Rockhampton school,Neutral,Neutral,TRUE
New South Wales,New abalone restrictions to protect South Australian industry,Positive,Positive,TRUE
New South Wales,"New salmon, prawn products making waves in Australia, including latest Huon range",Positive,Positive,TRUE
New South Wales,NSW authorities slap more penalties on non-compliant fishing,"NA","NA",TRUE
New South Wales,NSW DPI and Huon Aquaculture plan to breathe new life into defunct Pisces fish farm off Port Stephens,Positive,Positive,TRUE
New South Wales,Plan for deep-water fish pens off Tasmania7,Neutral,Neutral,TRUE
New South Wales,Poor maintenance blamed for mass escape of farmed kingfish,Negative,Negative,TRUE
New South Wales,Power’s new passion project with an old mate,"NA","NA",TRUE
New South Wales,Primary production and rural development -NSW Department of Planning30 Apr 2021bookmark_bordersharemore_vert,"NA","NA",TRUE
New South Wales,Qld hub for northern aquaculture species,Neutral,Neutral,TRUE
New South Wales,Recreational fishing access in water supply dams,"NA","NA",TRUE
New South Wales,Riverina Murray cod farm a dam good idea,Positive,Positive,TRUE
New South Wales,Salmon farming giant Huon Aquaculture hit by another incident at fish pen in Tasmania,Negative,Negative,TRUE
New South Wales,Shellfish and seaweed aquaculture potential in Australia,Neutral,Positive,FALSE
New South Wales,Shepparton fish farming course will help Indigenous students work on Country,Positive,Positive,TRUE
New South Wales,Social media influencers deemed 'a threat' to Australia's budding aquaculture industry,Positive,Positive,TRUE
New South Wales,Southern Australia identified as potential aquaculture hotspot,Neutral,Neutral,TRUE
New South Wales,Spanish mackerel stock report 'imminent' as stakeholders fear for fishery's future,"NA","NA",TRUE
New South Wales,Sustainable Cod Aquaculture Set Up in NSWThe,Positive,Positive,TRUE
New South Wales,"Sydney news: Five charged over theft of more than $4 million of salmon, fatal crash in Muswellbrook","NA","NA",TRUE
New South Wales,"Tasmania’s salmon industry expansion has no sound scientific basis, expert who quit review panel says",Neutral,"NA",FALSE
New South Wales,Tassal leads pack with sustainable Salmon,Positive,Positive,TRUE
New South Wales,Tassal to sell 6000ha of land as prawn sales grow by 786%Courier Mail19 Mar 2021bookmark_bordersharemore_vert,Neutral,Neutral,TRUE
New South Wales,TEL’s funding push to make NQ leader in aquaculture,Positive,"NA",FALSE
New South Wales,"The rise and rise of Tasmania's Atlantic salmon industry, from zero to a billion dollars in three decades",Neutral,Positive,FALSE
New South Wales,There aren't plenty more fish in the sea,"NA","NA",TRUE
New South Wales,Tiger prawn farm attracts offshore interest,Neutral,Positive,FALSE
New South Wales,Tweed Coast Road upgrade key to new housing and jobs,"NA","NA",TRUE
New South Wales,Underwater Drones Protecting Territory Aquaculture Industry,Neutral,Neutral,TRUE
New South Wales,WA jobs in the pipeline as kingfish farm tipped for Abrolhos waters,Positive,Positive,TRUE
New South Wales,West Australian pearl farmer James Brown named 2021 Australian Farmer of the Year,Neutral,Neutral,TRUE
New South Wales,What a catch! Unique $4,"NA","NA",TRUE
New South Wales,"Wollongong dog breeder given $205,000 for aquaculture project under regional grant scheme",Neutral,Neutral,TRUE
New South Wales,"WWF Australia admitted Tasmanian salmon farms ‘not sustainable’, campaigner says",Neutral,"NA",FALSE
New South Wales,Yumbah Aquaculture's $60m Portland abalone farm proposal rejected by VCATABC Newsbookmark_bordersharemore_vert,Neutral,Neutral,TRUE
Northern Territory,$4m funding to look at Territory food security and drought resilience,"NA","NA",TRUE
Northern Territory,A 20-year retrospective review of global aquaculture,Neutral,Neutral,TRUE
Northern Territory,A greener blue revolution,Negative,Negative,TRUE
Northern Territory,A test to diagnose psychopaths can help identify fish behaviours that could benefit aquaculture,Positive,Positive,TRUE
Northern Territory,‘Flames of rage’ over salmon farm plans,Negative,"NA",FALSE
Northern Territory,Abandoned fishing nets entangling thousands of animals a year,"NA","NA",TRUE
Northern Territory,Activists warn suitors circling Tassie salmon producer,Neutral,Negative,FALSE
Northern Territory,"Albany Aquaculture Zone to boost investment, growth and jobs",Positive,Positive,TRUE
Northern Territory,Animal welfare lobby splits over ‘false impression’ salmon certification,Neutral,"NA",FALSE
Northern Territory,Another farmed salmon mass breakout in Tasmanian waters stuns Huon Aquaculture,Negative,Negative,TRUE
Northern Territory,Aquaculture critic presses for answers after another salmon die-off,Neutral,Negative,FALSE
Northern Territory,Aquaculture inquiry to hear about NT biosecurity concerns,Neutral,Neutral,TRUE
Northern Territory,Aquaponics on the rise as more people turn to fish poo to grow fresh produce,Neutral,Positive,FALSE
Northern Territory,"Australian mega shrimp farm brings new CEO, CFO onboard as it enters critical stage",Neutral,Neutral,TRUE
Northern Territory,Australians bid to boost banana prawn farming,Positive,Positive,TRUE
Northern Territory,Australia's Northern Territory bans mining in coastal waters,"NA","NA",TRUE
Northern Territory,Canadian aquaculture company could battle JBS in Huon takeover,Neutral,Neutral,TRUE
Northern Territory,Central Qld prawn farm promises new jobs ahead of expansion,Neutral,Positive,FALSE
Northern Territory,Could Indonesia's fledgling eel farming sector be on the cusp of a breakthrough?,Positive,Positive,TRUE
Northern Territory,Crocodile jumps out of water into fishers' boat in Kakadu National Park,"NA","NA",TRUE
Northern Territory,Deakin’s $10m bid to become aquaculture leader,Neutral,"NA",FALSE
Northern Territory,Ecologist rejects ‘disingenuous’ salmon claims,Negative,"NA",FALSE
Northern Territory,Environmental concerns mount amid the rise of cotton growing in Northern Territory,"NA","NA",TRUE
Northern Territory,Farmed salmon health claims ‘a big fat lie’ as lab tests prompt investigation call,Negative,"NA",FALSE
Northern Territory,"Golden harvest as value of farms, crops rise","NA","NA",TRUE
Northern Territory,Government approves NT prawn aquaculture facility,Neutral,Neutral,TRUE
Northern Territory,Groote Eylandt mapping study off NT coast finds diversity similar to Great Barrier Reef,"NA","NA",TRUE
Northern Territory,Here's four major northern ag developments that have gained momentum recently,"NA","NA",TRUE
Northern Territory,Huon Aquaculture opens Perth processing facility as first step west for Tasmanian seafood giant,Neutral,Neutral,TRUE
Northern Territory,"JBS takeover of Huon points to maturing Aussie aquaculture industry, but risks lurk beneath",Neutral,Negative,FALSE
Northern Territory,Journo shines spotlight on ‘secretive’ industry,"NA","NA",TRUE
Northern Territory,Katters propose Qld seafood label laws,"NA","NA",TRUE
Northern Territory,Keeping males in fridge – future of Aquaculture,Neutral,"NA",FALSE
Northern Territory,Land clearing changes slash approval times by months,"NA","NA",TRUE
Northern Territory,Macquarie Harbour recovers from rapid salmon expansion as EPA considers future sustainability,Negative,Negative,TRUE
Northern Territory,Milking it: Behind Twiggy’s surprise bet on Aussie favourites,"NA","NA",TRUE
Northern Territory,Mining company TNG scraps Darwin Harbour discharge plan after Paspaley pressure,"NA","NA",TRUE
Northern Territory,Monsoon Aquatics wins Australian Exporter of the Year Award,"NA","NA",TRUE
Northern Territory,Most NT public servants vaccinated as deadline for staff to be stood down looms,"NA","NA",TRUE
Northern Territory,New $2.5m aquaculture facility planned for Rockhampton school,Neutral,Neutral,TRUE
Northern Territory,New $4.6m tree project will see Tiwi revenue soar,"NA","NA",TRUE
Northern Territory,New abalone restrictions to protect South Australian industry,Positive,Positive,TRUE
Northern Territory,New Huon chief reveals future of business,Neutral,"NA",FALSE
Northern Territory,New NT trepang farm targets world markets,Positive,Positive,TRUE
Northern Territory,"Nicole Manison: The NT's new Minister for Agribusiness, Aquaculture, Mining, Industry, Trade and more",Neutral,"NA",FALSE
Northern Territory,NLC defends new registration process for anglers in NT waters,"NA","NA",TRUE
Northern Territory,Northern Australia Food Futures Conference 2021,Neutral,"NA",FALSE
Northern Territory,Northern Territory Seafood Council welcomes north Australia aquaculture report,Neutral,Positive,FALSE
Northern Territory,NT set to double nation's prawn production,Neutral,Neutral,TRUE
Northern Territory,NT set to double nation's prawn production7,Neutral,Neutral,TRUE
Northern Territory,NT water sustainability research to guide federal planning,"NA","NA",TRUE
Northern Territory,"Oyster farming milestone for remote Aboriginal community, as 80,000 baby oysters touch down",Positive,Positive,TRUE
Northern Territory,Pacific workers fly into Darwin for mango season,"NA","NA",TRUE
Northern Territory,Peace in salmon war lies on the land,Neutral,Neutral,TRUE
Northern Territory,Plan for deep-water fish pens off Tasmania7,Neutral,Neutral,TRUE
Northern Territory,Prawn farming plans in NT get a boost from Charles Darwin University,Positive,Positive,TRUE
Northern Territory,Project Sea Dragon managers confident major prawn farm will go ahead despite coronavirus delays,Neutral,Neutral,TRUE
Northern Territory,Project Sea Dragon owner optimistic despite $25.8m loss,Neutral,Neutral,TRUE
Northern Territory,Project Sea Dragon reports significant progress,Neutral,Neutral,TRUE
Northern Territory,Property: Legune Station sale paves way for massive aquaculture project,Neutral,Neutral,TRUE
Northern Territory,Salmon boss launches furious spray over ‘puerile’ video,Negative,"NA",FALSE
Northern Territory,Salmon farming giant Huon Aquaculture hit by another incident at fish pen in Tasmania,Negative,Negative,TRUE
Northern Territory,"Salmon giant Huon objects to Petuna Storm Bay farm licence on biosecurity grounds, documents show",Neutral,Neutral,TRUE
Northern Territory,Salmon Wars: The path to a peace plan,Neutral,Neutral,TRUE
Northern Territory,Satellite images predict the NT's next mango harvest yield,"NA",Neutral,FALSE
Northern Territory,Seafarms secures $90 million funding,Neutral,Neutral,TRUE
Northern Territory,Shepparton fish farming course will help Indigenous students work on Country,Positive,Positive,TRUE
Northern Territory,Social media influencers deemed 'a threat' to Australia's budding aquaculture industry,Positive,Positive,TRUE
Northern Territory,Surfers’ simple message to salmon farmers,Neutral,"NA",FALSE
Northern Territory,Tasmania Salmon Farms,Neutral,Neutral,TRUE
Northern Territory,Tasmania to cap spread of salmon farms,Neutral,Neutral,TRUE
Northern Territory,Tasmanian oyster grower sells business to South Australian hatchery,Neutral,Neutral,TRUE
Northern Territory,Tasmanian salmon companies report 68 instances of elevated fish deaths in 15 months,Neutral,Negative,FALSE
Northern Territory,Tassal leads pack with sustainable Salmon,Positive,Positive,TRUE
Northern Territory,TEL’s funding push to make NQ leader in aquaculture,Positive,"NA",FALSE
Northern Territory,There aren't plenty more fish in the sea,"NA","NA",TRUE
Northern Territory,Underwater Drones Protecting Territory Aquaculture Industry,Neutral,Neutral,TRUE
Northern Territory,Valuable fish culled as WA kingfish producer loses faith in WA State Government,"NA",Neutral,FALSE
Queensland,$4.5m tropical rock lobster project launched,Neutral,Neutral,TRUE
Queensland,2021 is the world's fifth hottest year on record,"NA","NA",TRUE
Queensland,2021 is the world's fifth hottest year on record | The Advertiser,"NA","NA",TRUE
Queensland,A greener blue revolution,Negative,Negative,TRUE
Queensland,"‘Larger than life’: Beloved Coast businessman, pioneer dies","NA","NA",TRUE
Queensland,"Albany Aquaculture Zone to boost investment, growth and jobs",Positive,Positive,TRUE
Queensland,Algae answer to aquaculture wastewater problem,Neutral,Negative,FALSE
Queensland,Andrew Forrest takes $20m stake in Tasmania’s controversial salmon industry,Negative,"NA",FALSE
Queensland,"Andrew Forrest's Harvest Road quits WA Aquaculture Council, reportedly poaches executive officer",Neutral,Neutral,TRUE
Queensland,"Andrew 'Twiggy' Forrest's biggest buys in 2021: From medicinal cannabis to Canadian nickel, he's bought it all","NA","NA",TRUE
Queensland,A-peeling grant backs prawn farmers to go digital,Positive,Positive,TRUE
Queensland,Aquaculture could see Rockhampton known as more than just Australia's beef capital,Positive,Positive,TRUE
Queensland,Aquaculture hub to kickstart northern industry,Positive,Positive,TRUE
Queensland,Aquaculture sector in Queensland set for boost,Positive,Positive,TRUE
Queensland,Aquaculture to make a splash in northern Australia,Positive,Neutral,FALSE
Queensland,Aratula irrigation properties head to auction,"NA","NA",TRUE
Queensland,Aussie Helpers experiments with aquaculture,Neutral,Neutral,TRUE
Queensland,Australians bid to boost banana prawn farming,Positive,Positive,TRUE
Queensland,Balancing the scales with responsible aquaculture,Neutral,Neutral,TRUE
Queensland,Blackbutt's Bindanoon sets the scene,"NA","NA",TRUE
