System,State,Sentiment_1_RAW,Headline,Sentiment_1,Sentiment_2,Metadata
Aquaculture,Australian Capital Territory,1,A breath of fresh air: how nanobubbles can make aquaculture more sustainable,Negative,,The Fish Site13 Octbookmark_bordersharemore_vert
Aquaculture,Queensland,1,A greener blue revolution,Negative,,The Fish Site17 Septbookmark_bordersharemore_vert
Aquaculture,Northern Territory,1,A greener blue revolution,Negative,,The Fish Site17 Septbookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,1,A greener blue revolution,Negative,,The Fish Site17 Septbookmark_bordersharemore_vert
Aquaculture,Victoria,3,A Limeburners Creek dam could damage Port Stephens oyster industry,Positive,,Port Stephens Examiner17 Mar 2021bookmark_bordersharemore_vert
Aquaculture,New South Wales,3,A Limeburners Creek dam could damage Port Stephens oyster industry,Positive,,Port Stephens Examiner17 Mar 2021bookmark_bordersharemore_vert
Aquaculture,Northern Territory,3,A test to diagnose psychopaths can help identify fish behaviours that could benefit aquaculture,Positive,,Down To Earth Magazine18 Octbookmark_bordersharemore_vert
Aquaculture,Western Australia,0,"‘Are we progressive? My oath we are!’ A local’s guide to Albany, Western Australia",NA,,The Guardian10 May 2021bookmark_bordersharemore_vert
Aquaculture,Tasmania,1,‘Battery-hen farming of the sea’: sustainable alternatives to eating salmon,Negative,,The Guardian Australia12 Decbookmark_bordersharemore_vert
Aquaculture,Tasmania,1,‘Flames of rage’ over salmon farm plans,Negative,,The Mercury18 Septbookmark_bordersharemore_vert
Aquaculture,Northern Territory,1,‘Flames of rage’ over salmon farm plans,Negative,,The Mercury18 Septbookmark_bordersharemore_vert
Aquaculture,Queensland,0,"‘Larger than life’: Beloved Coast businessman, pioneer dies",NA,,Gold Coast Bulletin10 Novbookmark_bordersharemore_vert
Aquaculture,Tasmania,1,‘Toxic’ author’s dire warning over Huon Aquaculture sale,Negative,,The Mercury9 Augbookmark_bordersharemore_vert
Aquaculture,South Australia,3,Abalone farmer grows shellfish aquaculture portfolio,Positive,,The Fish Site28 Julybookmark_bordersharemore_vert
Aquaculture,Tasmania,2,Abalone producer Yumbah Aquaculture buys Tasmanian oyster grower,Neutral,,Undercurrent News29 Julybookmark_bordersharemore_vert
Aquaculture,Northern Territory,0,Abandoned fishing nets entangling thousands of animals a year,NA,,ABC News13 Septbookmark_bordersharemore_vert
Aquaculture,Tasmania,2,Aboriginal Fisheries Officer to lead consultation on sea country,Neutral,,Premier of Tasmania2 Augbookmark_bordersharemore_vert
Aquaculture,Victoria,2,Activists warn suitors circling Tassie salmon producer,Neutral,,The Mercury27 Julybookmark_bordersharemore_vert
Aquaculture,New South Wales,2,Activists warn suitors circling Tassie salmon producer,Neutral,,The Mercury27 Julybookmark_bordersharemore_vert
Aquaculture,Northern Territory,2,Activists warn suitors circling Tassie salmon producer,Neutral,,The Mercury27 Julybookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,0,"'Agrifood' hub aims to provide jobs, boost economy",NA,,The Canberra Times28 Feb 2021bookmark_bordersharemore_vert
Aquaculture,South Australia,0,Agrosuper S.,NA,,A. -- Moody's assigns Ba1 first-time rating to Agrosuper; stable outlookYahoo Finance4 days agobookmark_bordersharemore_vert
Aquaculture,Tasmania,2,AI breakthrough in Tassie salmon farming,Neutral,,FOOD Magazine - Australia21 June 2021bookmark_bordersharemore_vert
Aquaculture,Queensland,3,"Albany Aquaculture Zone to boost investment, growth and jobs",Positive,,Mirage News2 Decbookmark_bordersharemore_vert
Aquaculture,South Australia,3,"Albany Aquaculture Zone to boost investment, growth and jobs",Positive,,Mirage News2 Decbookmark_bordersharemore_vert
Aquaculture,Victoria,3,"Albany Aquaculture Zone to boost investment, growth and jobs",Positive,,Mirage News2 Decbookmark_bordersharemore_vert
Aquaculture,New South Wales,3,"Albany Aquaculture Zone to boost investment, growth and jobs",Positive,,Mirage News2 Decbookmark_bordersharemore_vert
Aquaculture,Northern Territory,3,"Albany Aquaculture Zone to boost investment, growth and jobs",Positive,,Mirage News2 Decbookmark_bordersharemore_vert
Aquaculture,Western Australia,3,Albany set to be 'jewel in the crown' of WA oyster industry after expansion,Positive,,ABC Newsbookmark_bordersharemore_vert
Aquaculture,Victoria,0,Albury anglers take advantage of lockdown to snag trophy fish,NA,,ABC News21 Septbookmark_bordersharemore_vert
Aquaculture,New South Wales,0,Albury anglers take advantage of lockdown to snag trophy fish,NA,,ABC News21 Septbookmark_bordersharemore_vert
Aquaculture,Queensland,2,Algae answer to aquaculture wastewater problem,Neutral,,North Queensland Register24 Augbookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,0,Amendments to Fisheries and Coastal Resources Act,NA,,Government of Nova Scotia19 Octbookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,3,America is hooked on seafood imports. We need to expand aquaculture in federal waters,Positive,,Fortune17 Octbookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,3,An exotic opportunity for a seaweed aquaculture intern,Positive,,The Fish Site17 Decbookmark_bordersharemore_vert
Aquaculture,Western Australia,2,Andrew Forrest is now a big fish in ocean farming,Neutral,,The Australian Financial Reviewbookmark_bordersharemore_vert
Aquaculture,Western Australia,3,Andrew Forrest says concerns over 'pillaging' of oceans prompted aquaculture push,Positive,,ABC Newsbookmark_bordersharemore_vert
Aquaculture,Tasmania,1,Andrew Forrest takes $20m stake in Tasmania’s controversial salmon industry,Negative,,The Guardian22 June 2021bookmark_bordersharemore_vert
Aquaculture,Queensland,1,Andrew Forrest takes $20m stake in Tasmania’s controversial salmon industry,Negative,,The Guardian22 June 2021bookmark_bordersharemore_vert
Aquaculture,Victoria,1,Andrew Forrest takes $20m stake in Tasmania’s controversial salmon industry,Negative,,The Guardian22 June 2021bookmark_bordersharemore_vert
Aquaculture,New South Wales,1,Andrew Forrest takes $20m stake in Tasmania’s controversial salmon industry,Negative,,The Guardian22 June 2021bookmark_bordersharemore_vert
Aquaculture,Western Australia,1,Andrew Forrest takes $20m stake in Tasmania’s controversial salmon industry,Negative,,The Guardian22 June 2021bookmark_bordersharemore_vert
Aquaculture,Queensland,2,"Andrew Forrest's Harvest Road quits WA Aquaculture Council, reportedly poaches executive officer",Neutral,,ABC News27 Augbookmark_bordersharemore_vert
Aquaculture,South Australia,2,"Andrew Forrest's Harvest Road quits WA Aquaculture Council, reportedly poaches executive officer",Neutral,,ABC News27 Augbookmark_bordersharemore_vert
Aquaculture,Western Australia,2,"Andrew Forrest's Harvest Road quits WA Aquaculture Council, reportedly poaches executive officer",Neutral,,ABC News27 Augbookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,2,"Andrew Forrest's Harvest Road quits WA Aquaculture Council, reportedly poaches executive officer",Neutral,,ABC News27 Augbookmark_bordersharemore_vert
Aquaculture,Queensland,0,"Andrew 'Twiggy' Forrest's biggest buys in 2021: From medicinal cannabis to Canadian nickel, he's bought it all",NA,,The West Australian29 Decbookmark_bordersharemore_vert
Aquaculture,Northern Territory,2,Animal welfare lobby splits over ‘false impression’ salmon certification,Neutral,,The Australian19 Septbookmark_bordersharemore_vert
Aquaculture,Tasmania,1,Another farmed salmon mass breakout in Tasmanian waters stuns Huon Aquaculture,Negative,,ABC Newsbookmark_bordersharemore_vert
Aquaculture,Northern Territory,1,Another farmed salmon mass breakout in Tasmanian waters stuns Huon Aquaculture,Negative,,ABC Newsbookmark_bordersharemore_vert
Aquaculture,Queensland,3,A-peeling grant backs prawn farmers to go digital,Positive,,Media Statements30 June 2021bookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,0,Aqua,NA,,Bounty Technologies to Present at the H.C. Wainwright BioConnect ConferenceYahoo Finance4 days agobookmark_bordersharemore_vert
Aquaculture,Western Australia,3,Aquaculture - The Start Of A Booming Industry For WAParticlebookmark_bordersharemore_vert,Positive,,NAAquaculture - The Start Of A Booming Industry For WAParticlebookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,0,Aquaculture Act proposed for Canada,NA,,Anishinabek News17 Apr 2021bookmark_bordersharemore_vert
Aquaculture,South Australia,2,"Aquaculture Additives Market Size, Trends, Forecast to 2029 | Key Players – Alltech, Cargill, Norel SA, BIOMIN Holding Gmb",Neutral,,"H, Bentoli TECHNA SA, Biomar – Industrial ITIndustrial IT6 days agobookmark_bordersharemore_vert"
Aquaculture,Australian Capital Territory,2,Aquaculture and Social License to Operate - World Aquaculture Societywas.org21 June 2021bookmark_bordersharemore_vert,Neutral,,NAAquaculture and Social License to Operate - World Aquaculture Societywas.org21 June 2021bookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,3,Aquaculture benefits Florida and our oceans | Column,Positive,,Tampa Bay Times14 DecOpinionbookmark_bordersharemore_vert
Aquaculture,Victoria,3,Aquaculture boom at our fingertips: study,Positive,,Central Western Daily7 Decbookmark_bordersharemore_vert
Aquaculture,New South Wales,3,Aquaculture boom at our fingertips: study,Positive,,Central Western Daily7 Decbookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,3,Aquaculture boom at our fingertips: study,Positive,,The Canberra Times7 Decbookmark_bordersharemore_vert
Aquaculture,Victoria,3,"Aquaculture boom at our fingertips: study | Bay Post-Moruya Examiner | Batemans Bay, NSWBay Post/Moruya Examiner7 Decbookmark_bordersharemore_vert",Positive,,"NAAquaculture boom at our fingertips: study | Bay Post-Moruya Examiner | Batemans Bay, NSWBay Post/Moruya Examiner7 Decbookmark_bordersharemore_vert"
Aquaculture,New South Wales,3,"Aquaculture boom at our fingertips: study | Bay Post-Moruya Examiner | Batemans Bay, NSWBay Post/Moruya Examiner7 Decbookmark_bordersharemore_vert",Positive,,"NAAquaculture boom at our fingertips: study | Bay Post-Moruya Examiner | Batemans Bay, NSWBay Post/Moruya Examiner7 Decbookmark_bordersharemore_vert"
Aquaculture,South Australia,3,"Aquaculture boom at our fingertips: study | The Times | Victor Harbor, SAVictor Harbor Times7 Decbookmark_bordersharemore_vert",Positive,,"NAAquaculture boom at our fingertips: study | The Times | Victor Harbor, SAVictor Harbor Times7 Decbookmark_bordersharemore_vert"
Aquaculture,Queensland,3,Aquaculture could see Rockhampton known as more than just Australia's beef capital,Positive,,ABC Newsbookmark_bordersharemore_vert
Aquaculture,Victoria,3,Aquaculture could see Rockhampton known as more than just Australia's beef capital,Positive,,ABC Newsbookmark_bordersharemore_vert
Aquaculture,New South Wales,3,Aquaculture could see Rockhampton known as more than just Australia's beef capital,Positive,,ABC Newsbookmark_bordersharemore_vert
Aquaculture,Northern Territory,2,Aquaculture critic presses for answers after another salmon die-off,Neutral,,CBC.ca19 Septbookmark_bordersharemore_vert
Aquaculture,South Australia,2,"Aquaculture Healthcare Market In-Depth Analysis including Development Strategy, Regional Analysis, Key Segmentation by Major Companies | Archer Daniels Midland Company, Benchmark PLC, Ceva Sante, Du",Neutral,,"Pont, Elanco, Merck, Vetoquinol SA – IndustriIndustrial IT5 days agobookmark_bordersharemore_vert"
Aquaculture,Queensland,3,Aquaculture hub to kickstart northern industry,Positive,,North Queensland Registerbookmark_bordersharemore_vert
Aquaculture,Victoria,2,Aquaculture in Southeast Asia,Neutral,,News - The University of Sydney30 June 2021bookmark_bordersharemore_vert
Aquaculture,New South Wales,2,Aquaculture in Southeast Asia,Neutral,,News - The University of Sydney30 June 2021bookmark_bordersharemore_vert
Aquaculture,Victoria,2,Aquaculture inquiry to hear about NT biosecurity concerns,Neutral,,The Mandarin25 Julybookmark_bordersharemore_vert
Aquaculture,New South Wales,2,Aquaculture inquiry to hear about NT biosecurity concerns,Neutral,,The Mandarin25 Julybookmark_bordersharemore_vert
Aquaculture,Northern Territory,2,Aquaculture inquiry to hear about NT biosecurity concerns,Neutral,,The Mandarin25 Julybookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,2,Aquaculture inquiry to hear about NT biosecurity concerns,Neutral,,The Mandarin25 Julybookmark_bordersharemore_vert
Aquaculture,South Australia,3,Aquaculture Is Key To Meet Increasing Food Demand: FAOOutlook India25 Septbookmark_bordersharemore_vert,Positive,,NAAquaculture Is Key To Meet Increasing Food Demand: FAOOutlook India25 Septbookmark_bordersharemore_vert
Aquaculture,South Australia,2,Aquaculture is now the largest sector of the seafood industry,Neutral,,FOOD Magazine - Australia26 Augbookmark_bordersharemore_vert
Aquaculture,South Australia,2,Aquaculture Market Report by Technavio estimates $ 48.88 Bn growth during 2020-2024,Neutral,,PRNewswire16 Septbookmark_bordersharemore_vert
Aquaculture,South Australia,2,"Aquaculture Market: Value Chain, Stakeholder Analysis and Trends and Top Key Companies | American Abalone Farms, Austevoll Seafood ASA, Lerøy Seafood Group ASA, Bakkafrost – Industrial ITIndustrial IT4 days agobookmark_bordersharemore_vert",Neutral,,"NAAquaculture Market: Value Chain, Stakeholder Analysis and Trends and Top Key Companies | American Abalone Farms, Austevoll Seafood ASA, Lerøy Seafood Group ASA, Bakkafrost – Industrial ITIndustrial IT4 days agobookmark_bordersharemore_vert"
Aquaculture,South Australia,2,"Aquaculture Parasiticides Market to Witness Growth Acceleration | Novartis AG, Virbac SA, Boehringer Ingelheim – Industrial ITIndustrial IT4 days agobookmark_bordersharemore_vert",Neutral,,"NAAquaculture Parasiticides Market to Witness Growth Acceleration | Novartis AG, Virbac SA, Boehringer Ingelheim – Industrial ITIndustrial IT4 days agobookmark_bordersharemore_vert"
Aquaculture,Australian Capital Territory,3,Aquaculture pioneer honoured by Atlantic Canada salmon farmers,Positive,,SeaWestNews4 Novbookmark_bordersharemore_vert
Aquaculture,Western Australia,3,"Aquaculture propels First Nations, tribal communities towards ‘self-reliance’Sea",Positive,,WestNews14 Octbookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,2,Aquaculture researchers raise concerns over probiotic safety,Neutral,,The Fish Site6 days agobookmark_bordersharemore_vert
Aquaculture,Queensland,3,Aquaculture sector in Queensland set for boost,Positive,,North Queensland Registerbookmark_bordersharemore_vert
Aquaculture,South Australia,2,"Aquaculture Therapeutics Industry Market 2020 Global Industry Size, Revenue Growth Development, Business Opportunities, Future Trends, Top Key Players, Market Share and Global Analysis by Forecast to 2024 – Industrial ITIndustrial IT2 days agobookmark_bordersharemore_vert",Neutral,,"NAAquaculture Therapeutics Industry Market 2020 Global Industry Size, Revenue Growth Development, Business Opportunities, Future Trends, Top Key Players, Market Share and Global Analysis by Forecast to 2024 – Industrial ITIndustrial IT2 days agobookmark_bordersharemore_vert"
Aquaculture,Queensland,3,Aquaculture to make a splash in northern Australia,Positive,,North Queensland Registerbookmark_bordersharemore_vert
Aquaculture,South Australia,3,Aquaculture: Five tips to get started,Positive,,Food For Mzansi4 May 2021bookmark_bordersharemore_vert
Aquaculture,Victoria,2,Aquacultureman: Take a peek inside the land-based fish farm breeding 80% of Australia's barramundi,Neutral,,SmartCompany.com.aubookmark_bordersharemore_vert
Aquaculture,New South Wales,2,Aquacultureman: Take a peek inside the land-based fish farm breeding 80% of Australia's barramundi,Neutral,,SmartCompany.com.aubookmark_bordersharemore_vert
Aquaculture,Victoria,2,Aquaponics on the rise as more people turn to fish poo to grow fresh produce,Neutral,,ABC News1 July 2021bookmark_bordersharemore_vert
Aquaculture,New South Wales,2,Aquaponics on the rise as more people turn to fish poo to grow fresh produce,Neutral,,ABC News1 July 2021bookmark_bordersharemore_vert
Aquaculture,Northern Territory,2,Aquaponics on the rise as more people turn to fish poo to grow fresh produce,Neutral,,ABC News1 July 2021bookmark_bordersharemore_vert
Aquaculture,Western Australia,2,Aquaponics on the rise as more people turn to fish poo to grow fresh produce,Neutral,,ABC News1 July 2021bookmark_bordersharemore_vert
Aquaculture,South Australia,0,Aqua-Spark and Semapa Next co-lead series B round for Oceano Fresco,NA,,The Fish Site16 Novbookmark_bordersharemore_vert
Aquaculture,Victoria,0,Aquna Murray Cod reels in first prize at state produce awards,NA,,Area News5 May 2021bookmark_bordersharemore_vert
Aquaculture,New South Wales,0,Aquna Murray Cod reels in first prize at state produce awards,NA,,Area News5 May 2021bookmark_bordersharemore_vert
Aquaculture,Queensland,0,Aratula irrigation properties head to auction,NA,,Queensland Country Life24 Augbookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,0,"As the tide rises, Indonesia struggles to save the living—and the dead",NA,,National Geographic2 days agobookmark_bordersharemore_vert
Aquaculture,Tasmania,2,ASC responds to concerns over aquaculture standards,Neutral,,The Fish Site15 Septbookmark_bordersharemore_vert
Aquaculture,South Australia,1,Asia's Booming Fish Farms Raise Environmental and Health Alarm,Negative,,Bloomberg21 Septbookmark_bordersharemore_vert
Aquaculture,Tasmania,1,Atlantic salmon: Open-net feedlots must not be used in Tasmania,Negative,,Tasmania Examiner15 May 2021bookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,1,Atlantic salmon: Open-net feedlots must not be used in Tasmania,Negative,,Tasmania Examiner15 May 2021bookmark_bordersharemore_vert
Aquaculture,Victoria,0,Aussie company turns away from China,NA,,NEWS.com.au2 Feb 2021bookmark_bordersharemore_vert
Aquaculture,New South Wales,0,Aussie company turns away from China,NA,,NEWS.com.au2 Feb 2021bookmark_bordersharemore_vert
Aquaculture,Queensland,2,Aussie Helpers experiments with aquaculture,Neutral,,Queensland Country Lifebookmark_bordersharemore_vert
Aquaculture,South Australia,2,Aussie oyster grower aims to double production,Neutral,,The Fish Site17 May 2021bookmark_bordersharemore_vert
Aquaculture,Western Australia,2,"Australia first for Andrew Forrest's Leeuwin Coast aquaculture, with carbon neutral certification",Neutral,,The West Australian11 Apr 2021bookmark_bordersharemore_vert
Aquaculture,Victoria,2,Australian Farmer of the Year 2018 sees family founders of Huon Aquaculture take first top gong for seafood,Neutral,,ABC Newsbookmark_bordersharemore_vert
Aquaculture,New South Wales,2,Australian Farmer of the Year 2018 sees family founders of Huon Aquaculture take first top gong for seafood,Neutral,,ABC Newsbookmark_bordersharemore_vert
Aquaculture,Northern Territory,2,"Australian mega shrimp farm brings new CEO, CFO onboard as it enters critical stage",Neutral,,IntraFish3 Septbookmark_bordersharemore_vert
Aquaculture,Queensland,3,Australians bid to boost banana prawn farming,Positive,,The Fish Site30 Septbookmark_bordersharemore_vert
Aquaculture,Northern Territory,3,Australians bid to boost banana prawn farming,Positive,,The Fish Site30 Septbookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,3,Australians bid to boost banana prawn farming,Positive,,The Fish Site30 Septbookmark_bordersharemore_vert
Aquaculture,Western Australia,3,Australians team up for 600-tonne abalone venture,Positive,,The Fish Site29 May 2021bookmark_bordersharemore_vert
Aquaculture,Tasmania,2,"Australia's aquaculture sector grew amid COVID-19, but production expected to drop in 2021",Neutral,,SeafoodSource1 Septbookmark_bordersharemore_vert
Aquaculture,Tasmania,2,Australia's emerging seaweed startups,Neutral,,The Fish Site5 Mar 2021bookmark_bordersharemore_vert
Aquaculture,South Australia,2,Australia's emerging seaweed startups,Neutral,,The Fish Site5 Mar 2021bookmark_bordersharemore_vert
Aquaculture,Victoria,2,Australia's emerging seaweed startups,Neutral,,The Fish Site5 Mar 2021bookmark_bordersharemore_vert
Aquaculture,New South Wales,2,Australia's emerging seaweed startups,Neutral,,The Fish Site5 Mar 2021bookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,2,Australia's emerging seaweed startups,Neutral,,The Fish Site5 Mar 2021bookmark_bordersharemore_vert
Aquaculture,Western Australia,0,"Australia's marine industries deliver $80b a year. But without more scientists, the 'blue economy' is at risk",NA,,The Conversation AU22 Novbookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,0,"Australia's marine industries deliver $80b a year. But without more scientists, the 'blue economy' is at risk",NA,,The Conversation AU22 Novbookmark_bordersharemore_vert
Aquaculture,Northern Territory,0,Australia's Northern Territory bans mining in coastal waters,NA,,Mining Technology5 Augbookmark_bordersharemore_vert
Aquaculture,Tasmania,2,Balancing the scales with responsible aquaculture,Neutral,,Foodprocessing12 Augbookmark_bordersharemore_vert
Aquaculture,Queensland,2,Balancing the scales with responsible aquaculture,Neutral,,Foodprocessing12 Augbookmark_bordersharemore_vert
Aquaculture,Victoria,2,Balancing the scales with responsible aquaculture,Neutral,,Foodprocessing12 Augbookmark_bordersharemore_vert
Aquaculture,New South Wales,2,Balancing the scales with responsible aquaculture,Neutral,,Foodprocessing12 Augbookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,0,Bangladesh desperately needs a comprehensive maritime law,NA,,Hellenic Shipping News Worldwide7 hours agobookmark_bordersharemore_vert
Aquaculture,Western Australia,3,Barramundi farm offers new hope for Indigenous community in WA's remote Kimberley,Positive,,ABC Onlinebookmark_bordersharemore_vert
Aquaculture,Tasmania,0,BBF recruits anti-jobs campaigner in new low,NA,,Premier of Tasmania29 June 2021bookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,0,BFAR sees completion of 32 hatcheries in 2022pna.gov.ph13 Decbookmark_bordersharemore_vert,NA,,NABFAR sees completion of 32 hatcheries in 2022pna.gov.ph13 Decbookmark_bordersharemore_vert
Aquaculture,Tasmania,3,Bicheno abalone gets green tick from ASCThe Examiner23 Octbookmark_bordersharemore_vert,Positive,,NABicheno abalone gets green tick from ASCThe Examiner23 Octbookmark_bordersharemore_vert
Aquaculture,South Australia,3,Bicheno abalone gets green tick from ASCThe Examiner23 Octbookmark_bordersharemore_vert,Positive,,NABicheno abalone gets green tick from ASCThe Examiner23 Octbookmark_bordersharemore_vert
Aquaculture,Western Australia,0,Big moves on WA rich list,NA,,Business News16 Decbookmark_bordersharemore_vert
Aquaculture,Western Australia,0,Big plans for marron industry,NA,,Farm Weeklybookmark_bordersharemore_vert
Aquaculture,Tasmania,1,Big Salmon Ducks Scrutiny on Mass Wildlife Deaths,Negative,,Tasmanian Greens MPs25 Mar 2021bookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,0,Bill Reboot: The AQUAA Act is back,NA,,National Fisherman16 Decbookmark_bordersharemore_vert
Aquaculture,Tasmania,2,Bill tabled to support offshore Marine Aquaculture Research,Neutral,,Premier of Tasmania9 Novbookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,2,Bill Text - AB-303 Aquaculture: mariculture production and restoration: pilot program.,Neutral,,California Legislative Information15 Mar 2021bookmark_bordersharemore_vert
Aquaculture,Western Australia,2,Billionaire Forrest Urges Australia Panel to Hold JBS to Account,Neutral,,Bloomberg20 Augbookmark_bordersharemore_vert
Aquaculture,Queensland,0,Blackbutt's Bindanoon sets the scene,NA,,Queensland Country Life12 Julybookmark_bordersharemore_vert
Aquaculture,Tasmania,1,Book review: Acclaimed Australian author takes on local 'salmon barons'Nikkei Asia11 Julybookmark_bordersharemore_vert,Negative,,NABook review: Acclaimed Australian author takes on local 'salmon barons'Nikkei Asia11 Julybookmark_bordersharemore_vert
Aquaculture,Victoria,2,Boosting oyster supply,Neutral,,Australian Hospitality Magazine19 Augbookmark_bordersharemore_vert
Aquaculture,New South Wales,2,Boosting oyster supply,Neutral,,Australian Hospitality Magazine19 Augbookmark_bordersharemore_vert
Aquaculture,Tasmania,2,Brazil’s Batista Brothers Invited to Tasmania After Purchase of Huon Aquaculture,Neutral,,Tasmanian Times29 Novbookmark_bordersharemore_vert
Aquaculture,Tasmania,3,Breeding programme aims to save Australian oysters,Positive,,The Fish Site2 July 2021bookmark_bordersharemore_vert
Aquaculture,South Australia,3,Breeding programme aims to save Australian oysters,Positive,,The Fish Site2 July 2021bookmark_bordersharemore_vert
Aquaculture,Victoria,3,Breeding programme aims to save Australian oysters,Positive,,The Fish Site2 July 2021bookmark_bordersharemore_vert
Aquaculture,New South Wales,3,Breeding programme aims to save Australian oysters,Positive,,The Fish Site2 July 2021bookmark_bordersharemore_vert
Aquaculture,South Australia,0,Briefcase: Business snippets from around SAIn,NA,,Daily18 Octbookmark_bordersharemore_vert
Aquaculture,Western Australia,0,"Buccaneer Archipelago, Dampier Peninsula marine park plan sparks debate over who has the right to fish",NA,,ABC News8 Mar 2021bookmark_bordersharemore_vert
Aquaculture,Queensland,3,Burdekin Shire to be home to Australia's first high tech aquaculture farm,Positive,,North Queensland Registerbookmark_bordersharemore_vert
Aquaculture,Victoria,0,Call for local Fisheries officers - Central Coast News,NA,,Central Coast Community News18 June 2021bookmark_bordersharemore_vert
Aquaculture,New South Wales,0,Call for local Fisheries officers - Central Coast News,NA,,Central Coast Community News18 June 2021bookmark_bordersharemore_vert
Aquaculture,Queensland,0,Call to ban commercial fishing in Gulf of Carpentaria sparks backlash from local fishers,NA,,ABC News29 Septbookmark_bordersharemore_vert
Aquaculture,Tasmania,2,Calls for independent salmon testing after lab tests allegedly show higher fat content than industry figures,Neutral,,The Guardian15 Decbookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,1,Can aquaculture really take the pressure off capture fisheries?,Negative,,The Fish Site14 June 2021bookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,2,Can Bangladesh's pangasius sector comply with sustainability certification?,Neutral,,The Fish Site24 Decbookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,2,Canada contemplating new Aquaculture Act; DFO leading public consultations,Neutral,,SaltWire Networkbookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,2,Canada sees net gains from proposed Aquaculture Act,Neutral,,SeaWestNewsbookmark_bordersharemore_vert
Aquaculture,Northern Territory,2,Canadian aquaculture company could battle JBS in Huon takeover,Neutral,,The Mercury19 Augbookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,2,Canadian fish farmers get a code of practice,Neutral,,SeaWestNews9 Novbookmark_bordersharemore_vert
Aquaculture,South Australia,2,Carnegie to power moored and aquaculture vessels with wave energy,Neutral,,RenewEconomy20 Octbookmark_bordersharemore_vert
