Year of Reg,Year,CN-8,Comment,CN-8 product name,Explanation,CF
1369/2020,2021,0302 13 00,unchanged,"Fresh or chilled Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus""",Same assumption as for 0302 12 00,1.14
1369/2020,2021,0302 14 00,unchanged,"Fresh or chilled Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho""",Same assumption as for 0302 12 00,1.14
1369/2020,2021,0302 19 00,unchanged,"Fresh or chilled salmonidae (excl. trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster"", Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus"", Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho"")",Same assumption as for 0302 12 00,1.14
1369/2020,2021,0302 21 10,unchanged,"Fresh or chilled lesser or Greenland halibut ""Hippoglossus hippoglossus""","As mentioned in the Oceanic Developpement survey, according to the 1996 Cofrépêche survey the same CF (1,09) is used in the fishing MS for the gutted form, which predominates in the trade",1.09
1369/2020,2021,0302 21 30,unchanged,"Fresh or chilled Atlantic halibut ""Hippoglossus hippoglossus""","As mentioned in the Oceanic Developpement survey, this species is imported from Canada, Iceland and Norway. Canadian scientists have published an article setting CF of 1,14 for gutted form and 1,26 for gutted and headed. The assumption made in the Oceanic Developpement survey is that. based on the trade publications, the traded products are gutted.",1.14
1369/2020,2021,0302 21 90,unchanged,"Fresh or chilled Pacific halibut ""Hippoglossus stenolepis""","According to the assumption made in in the Oceanic Developpement survey, due to the distance between catching areas and the EU market, this species is exported to EU headed and gutted., thus the Canadian CF is adopted.",1.30
1369/2020,2021,0302 22 00,unchanged,"Fresh or chilled plaice ""Pleuronectes platessa""","According to the assumption made in in the Oceanic Developpement survey, this species is traded gutted. The porposed CF is identified in the 1996 Cofrépêche survey (achievement of MAAF - UK). The proposed CF is also identified in the EU Regulation No 404/2011 for the gutted form of presentation.",1.07
1369/2020,2021,0302 23 00,unchanged,"Fresh or chilled sole ""Solea spp.""","The proposed CF 1,04 is identified in the EU Regulation No 404/2011 for the gutted form of presentation.",1.04
1369/2020,2021,0302 24 00,unchanged,"Fresh or chilled turbot ""Psetta maxima""",same assumption as for 0302 29 90,1.10
1369/2020,2021,0302 29 10,unchanged,"Fresh or chilled megrim ""Lepidorhombus spp.""","Same assumption as for 03 02 22 00. CF of 1,04 measured by IFREMER (FR) and MAAF (UK)",1.04
1369/2020,2021,0302 29 80,unchanged,"Fresh or chilled flat fish ""Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Catharidae"" (excl. lesser or Greenland halibut, Atlantic halibut, Pacific halibut, plaice, sole, turbot and megrim)",same assumption as for 0302 29 90,1.10
1369/2020,2021,0302 31 10,unchanged,"Fresh or chilled albacore or longfinned tunas ""Thunnus alalunga"" for industrial processing or preservation","Based on historical landing and trade data and interviews with industry experts, it is assumed that trade of this product consists of a combination of fresh Albacore from the pole and line fleet, landed as fresh whole but processed (gutted and headed) before sales/exports (CF=1,15), and fresh Albacore from the pair trawl fleet, landed as whole (CF=1) and exported as such. Hence an average CF of 1,08 is chosen.",1.08
1369/2020,2021,0302 31 90,unchanged,"Fresh or chilled albacore or longfinned tunas ""Thunnus alalunga"" (excl. for industrial processing or preservation)","Based on historical landing and trade data and interviews with industry experts, it is assumed that trade of this product consists of a combination of fresh Albacore from the pole and line fleet, landed as fresh whole but processed (gutted and headed) before sales/exports (CF=1,15), and fresh Albacore from the pair trawl fleet, landed as whole (CF=1) and exported as such. Hence an average CF of 1,08 is chosen.",1.08
1369/2020,2021,0302 32 10,unchanged,"Fresh or chilled yellowfin tunas ""Thunnus albacares"" for industrial processing or preservation",Same assumption as for 03 02 31 10. The CF proposed is the CF proposed by ICCAT for gutted and gilled. ,1.13
1369/2020,2021,0302 32 90,unchanged,"Fresh or chilled yellowfin tunas ""Thunnus albacares"" (excl. for industrial processing or preservation)",Same assumption as for 03 02 31 10 and 03 02 31 90. The CF proposed is the CF proposed by ICCAT for gutted and gilled. ,1.13
1369/2020,2021,0302 33 10,unchanged,Fresh or chilled skipjack or stripe-bellied bonito for industrial processing or preservation,"According to the assumption made in in the Oceanic Developpement survey, Skipjack is most often kept on board is is, hence a CF of 1,00",1.00
1369/2020,2021,0302 33 90,unchanged,Fresh or chilled skipjack or stripe-bellied bonito (excl. for industrial processing or preservation),Same assumption as for 03 02 33 10,1.00
1369/2020,2021,0302 34 10,unchanged,"Fresh or chilled bigeye tunas ""Thunnus obesus"" for industrial processing or preservation","We assume that this fish is gutted and thus the proposed CF of 1,10 indicated in the EU Regulation No404/2011",1.10
1369/2020,2021,0302 34 90,unchanged,"Fresh or chilled bigeye tunas ""Thunnus obesus"" (excl. tunas for industrial processing or preservation)",Same assumption as for 0302 34 10,1.10
1369/2020,2021,0302 35 11,unchanged,"Fresh or chilled bluefin tunas ''Thunnus thynnus'', for industrial processing or preservation","Same assumption as for  0302 31 10. The CF proposed is the CF proposed by ICCAT for gutted and gilled, indicated in the oceanic Developpement survey. ",1.16
1369/2020,2021,0302 35 19,unchanged,Fresh or chilled bluefin tunas ''Thunnus thynnus'' (excl. tunas for industrial processing or preservation),"Same assumptions as for 0302 31 10. The CF proposed is the CF proposed by ICCAT for gutted and gilled, indicated in the oceanic Developpement survey. ",1.16
1369/2020,2021,0302 35 91,unchanged,"Fresh or chilled Pacific bluefin tuna ""Thunnus orientalis"", for industrial processing or preservation",same assumption as for 0302 39 10,1.14
1369/2020,2021,0302 35 99,unchanged,"Fresh or chilled Pacific bluefin tuna ""Thunnus orientalis"" (excl. for industrial processing or preservation)",Same assumption as for 03 02 35 10,1.16
1369/2020,2021,0302 36 10,unchanged,"Fresh or chilled Southern bluefin tunas ""Thunnus maccoyii"" for industrial processing or preservation",Same assumption as for  0302 31 10,1.15
1369/2020,2021,0302 36 90,unchanged,"Fresh or chilled Southern bluefin tunas ""Thunnus maccoyii"" (excl. tunas for industrial processing or preservation)",Same assumption as for  0302 31 10,1.15
1369/2020,2021,0302 39 20,unchanged,"Fresh or chilled tunas of the genus ""Thunnus"" for industrial processing or preservation (excl. Thunnus alalunga, Thunnus albacares, Thunnus obesus, Thunnus thynnus, Thunnus orientalis and Thunnus maccoyii)",same assumption as for 0302 39 10,1.14
1369/2020,2021,0302 39 80,unchanged,"Fresh or chilled tunas of the genus ""Thunnus"" (excl. tunas for industrial processing or preservation and Thunnus alalunga, Thunnus albacares, Thunnus obesus, Thunnus thynnus, Thunnus orientalis and Thunnus maccoyii)",Same assumption as for 03 02 35 10,1.16
1369/2020,2021,0302 41 00,unchanged,"Fresh or chilled herrings ""Clupea harengus, clupea pallasii""","As indicated in the Oceanic Developpement survey, the predominant species in this product group is C. harengus. According to the informations from the trade publications it is exported whole. The Oceanic Developpement report mentions that the CF for this species is measured 1,04 by FR and 1,08 by DE to take into account losses of scales and fluids.",1.00
1369/2020,2021,0302 42 00,unchanged,"Fresh or chilled anchovies ""Engraulis spp.""","As identified in the Oceanic Developpement survey, anchovy is traded unprepared.",1.00
1369/2020,2021,0302 43 10,unchanged,"Fresh or chilled sardines ""Sardina pilchardus""","As indicated in the Oceanic Developpement survey, fresh sardines are traded whole unprepared",1.00
1369/2020,2021,0302 43 30,unchanged,"Fresh or chilled sardines ""Sardinops spp."" and sardinella ""Sardinella spp.""",Same assumption as for 03 02 61 10,1.00
1369/2020,2021,0302 43 90,unchanged,"Fresh or chilled brisling or sprats ""Sprattus sprattus""","According to the accumption made in the Oceanic Developpement survey, sprat is mainly used for the production of flours for animal feed use. It is also used for human consumption, although in moderate volumes. According to Eurostat landing statistics, around 30% of Sprat catches is for human consumption (10 year average). As described in the introduction, only the part of the product intended for human consumption should be included in this study. Since Sprat is primarely traded as whole (CF=1). Thus the proposed CF is 1,00 * 0,3 = 0,3. ",0.30
1369/2020,2021,0302 44 00,unchanged,"Fresh or chilled mackerel ""Scomber scombrus, Scomber australasicus, Scomber japonicus""","As indicated in the Oceanic Developpement survey, fresh mackerel is traded whole unprepared",1.00
1369/2020,2021,0302 45 10,unchanged,"Fresh or chilled Atlantic horse mackerel ""Trachurus trachurus""",same assumption as for 0302 69 91,1.00
1369/2020,2021,0302 45 30,unchanged,"Fresh or chilled Chilean jack mackerel ""Trachurus murphyi""",same assumption as for 0302 69 99,1.17
1369/2020,2021,0302 45 90,unchanged,"Fresh or chilled jack and horse mackerel ""Trachurus spp."" ""(excl. Atlantic horse mackerel and Chilean jack mackerel)",same assumption as for 0302 69 91,1.00
1369/2020,2021,0302 46 00,unchanged,"Fresh or chilled cobia ""Rachycentron canadum""",same assumption as for 0302 69 99,1.17
1369/2020,2021,0302 47 00,unchanged,FRESH OR CHILLED SWORDFISH 'XIPHIAS GLADIUS',"We assume that this species is traded both gutted/headed and gutted/head on. We propose an average of the CF for gutted and headed (1,33) identified by ICCAT and for gutted/head on (1,15) used in Norway, hence CF 1,24 ",1.24
1369/2020,2021,0302 49 11,unchanged,"Kawakawa (Euthynnus affinis), for the industrial manufacture of products of heading 1604, excluding edible fish offal of subheadings 0302 91 to 0302 99, fresh or chilled",Same assumption as for 03026921,1.00
1369/2020,2021,0302 49 19,unchanged,"Kawakawa (Euthynnus affinis), other (excl.  0302 49 11), excluding edible fish offal of subheadings 0302 91 to 0302 99, fresh or chilled",Same assumption as for 0302 33 90,1.14
1369/2020,2021,0302 49 90,unchanged,"Other fish of the genus Herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp.), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae),  (excl. 0302 41 - 0302 49 19), excluding edible fish offal of subheading 0302 91 - 0302 99,  fresh or chilled    ","Species specifically covered, when sold fresh, are typiically traded as whole, round fish.",1.00
1369/2020,2021,0302 51 10,unchanged,"Fresh or chilled cod ""Gadus morhua""","The main exporter of this product is Norway (80-85%) and is the predominant form is gutted head off. The other exporters - Iceland and Faroe Islands, are exporting mostly gutted, head on. The proposed CF (1,34) is an average of gutted, head off (1,50) and gutted, head on (1,18), both used in Norway. ",1.34
1369/2020,2021,0302 51 90,unchanged,"Fresh or chilled cod ""Gadus ogac, Gadus macrocephalus""","As indicated in the Oceanic Developpement survey, Greenland cod (Gadus ogac) predominates when traded fresh, the volumes are are quite modest. Thus the proposed CF 1,28 is the CF used by Greenland for gutted cod.",1.28
1369/2020,2021,0302 52 00,unchanged,"Fresh or chilled haddock ""Melanogrammus aeglefinus""","The most part of the traded fresh or chilled haddock is gutted. We proposed to use the CF for the gutted form used in Norway, CF 1,14",1.14
1369/2020,2021,0302 53 00,unchanged,"Fresh or chilled coalfish ""Pollachius virens""","Oceanic Developpement survey proposes the CF of 1,19 as identified in the 1996 survey for conversion of gutted coalfish into live weight. The same CF is indicated in Finfish study 2011 by AIPCE-CEP",1.19
1369/2020,2021,0302 54 11,unchanged,"Fresh or chilled Cape hake ""shallow-water hake"" ""Merluccius capensis"" and deepwater hake ""deepwater Cape hake"" ""Merluccius paradoxus""","As identified in the Oceanic Developpement survey, this species is caught in Namibia and exported headed  to the EU by airfreight, thus the proposed CF 1,46 is the one used in Namibia",1.46
1369/2020,2021,0302 54 15,unchanged,"Fresh or chilled Southern hake ""Merluccius australis""","As identified in the Oceanic Developpement survey, this species is exported headed. The product comes from South America and New Zeeland and the volumes are low. The Cf proposed is the one used in New Zealand,namelyu 1,50",1.50
1369/2020,2021,0302 54 19,unchanged,"Fresh or chilled hake of the genus ""Merluccius"" (excl. Cape hake ""shallow-water hake"", deepwater hake ""deepwater Cape hake"" and Southern hake)","As identified in the Oceanic Developpement survey, this speices is from North-East Atlantics and is exported gutted. The propsoed CF is 1,12, as identified in the study of 1996. ",1.12
1369/2020,2021,0302 54 90,unchanged,"Fresh or chilled hake of the genus ""Urophycis""",Oceanic Developpement survey identifies no information on this species and propsoes to adopt an average CF for hake gutted based on 03026966 and 03026967,1.48
1369/2020,2021,0302 55 00,unchanged,"Fresh or chilled Alaska pollack ""Theragra chalcogramma""",same assumption as for 0302 69 51,1.16
1369/2020,2021,0302 56 00,unchanged,"Fresh or chilled blue whiting ""Micromesistius poutassou or Gadus poutassou) and southern blue whiting (Micromesistius australis)",Same assumption as for 0302 69 85,1.00
1369/2020,2021,0302 59 10,unchanged,Fresh or chilled saltwater fish of the species Boreogadus saida,"This species is widly used in fish flour production, but also in canning industry. According to the information from the idustry Boreogadus saida is traded whole, hence CF 1,00",1.00
1369/2020,2021,0302 59 20,unchanged,"Fresh or chilled whiting ""Merlangus merlangus""","As identified in the Oceanic Developpement survey, whitting is mostly gutted when exported, thus the proposed CF is the oneidelntified in the survey 1996",1.18
1369/2020,2021,0302 59 30,unchanged,"Fresh or chilled pollack ""Pollachius pollachius""",same assumption as for 0302 69 51,1.16
1369/2020,2021,0302 59 40,unchanged,"Fresh or chilled ling ""Molva spp.""","The proposed CF 1,15 is an everage fo the CFs identified in Europe, calculated in the Oceanic Developpement survey. ",1.15
1369/2020,2021,0302 59 90,unchanged,"Fresh or chilled fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae (excl. cod, haddock, coalfish, hake, Alaska pollack, blue whitings, Boreogadus saida, whiting, pollack and ling)",same assumption as for 0302 69 99,1.17
1369/2020,2021,0302 71 00,unchanged,Fresh or chilled tilapia (Oreochromis spp.),"according to the information from the industry, this species is traded mostly whole ungutted, thus CF 1,00",1.00
1369/2020,2021,0302 72 00,unchanged,"Fresh or chilled catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.""",Same assumption as for 0302 69 19,1.12
1369/2020,2021,0302 73 00,unchanged,"Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys
spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), excluding edible fish offal of subheadings 0302 91 to 0302 99, fresh or chilled","Species specifically covered, when sold fresh, are typiically traded as whole, round fish.",1.00
1369/2020,2021,0302 74 00,unchanged,"Fresh or chilled eels ""Anguilla spp.""","According to the assumption made in the Oceanic Developpement survey, fresh eel is traded whole ungutted.",1.00
1369/2020,2021,0302 79 00,unchanged,"Fresh or chilled, Nile perch ""Lates niloticus"" and snakeheads ""Channa spp.""",Same assumption as for 0302 69 19,1.12
1369/2020,2021,0302 81 15,unchanged,"Picked dogfish (Squalus acanthias) and catsharks (Scyliorhinus spp.), excluding edible fish offal of subheadings 0302 91 to 0302 99, fresh or chilled","This product is a combination of the previously used codes 0302 81 10 and 0302 81 20, hence and average of the two products have been used",1.34
1369/2020,2021,0302 81 30,unchanged,"Porbeagle shark (Lamna nasus), excluding edible fish offal of subheadings 0302 91 to 0302 99, fresh or chilled","According to the assumption made in the Oceanic Developpement survey this species is traded headed and gutted (by analogy with 0302 65 50 and 0302 65 20). The porposed CF is an average CF for headed and gutted form used in Norway, Portugal and Sweden, as indicated in FAO Fiesheries Circular No 847, Revision 1.  See also comment to 0302 92 00",1.29
1369/2020,2021,0302 81 40,unchanged,"Blue shark (Prionace glauca), excluding edible fish offal of subheadings 0302 91 to 0302 99, fresh or chilled",The assumption is that this specie primarily is traded as dressed and the conversion factor identified by the European shark fisheries report by EEA of 2007 is used (based on FAO recomendations),1.33
1369/2020,2021,0302 81 80,unchanged,"Other sharks (excl. 0302 81 15 to 0302 81 40), excluding edible fish offal of subheadings 0302 91 to 0302 99, fresh or chilled",same assumption as for 0302 81 90 is used. See also comment to 0302 92 00,1.34
1369/2020,2021,0302 82 00,unchanged,"Fresh or chilled, rays and skates ""Rajidae""",same assumption as for 0302 69 99,1.17
1369/2020,2021,0302 83 00,unchanged,"Fresh or chilled toothfish ""Dissostichus spp.""",Same assumption as for 0303 62 00,1.70
1369/2020,2021,0302 84 10,unchanged,"Fresh or chilled sea bass ""Dicentrarchus labrax""","As identified in the Oceanic Developpement report, and according to the information received from the industry contacts, this species is traded mostry whole, ungutted. ",1.00
1369/2020,2021,0302 84 90,unchanged,"Fresh or chilled sea bass ""Dicentrarchus spp."" (excl. European sea bass)",same assumption as for 0302 69 99,1.17
1369/2020,2021,0302 85 10,unchanged,"Fresh or chilled sea bream ""Dentex dentex and Pagellus spp.""","The information from the trade publications shows that the most part of fresh seabream is traded whole, hence CF 1,00",1.00
1369/2020,2021,0302 85 30,unchanged,"Fresh or chilled gilt-head seabreams ""Sparus aurata""",Same assumption as for 0302 69 94,1.00
1369/2020,2021,0302 85 90,unchanged,"Fresh or chilled sea bream ""Sparidae"" (excl. gilt-head sea bream, Dentex dentex and Pagellus spp.)",same assumption as for 0302 69 99,1.17
1369/2020,2021,0302 89 10,unchanged,"Freshwater fish, excluding edible fish offal of subheadings 0302 91 to 0302 99, fresh or chilled",Same assumption as for 0302 69 19,1.12
1369/2020,2021,0302 89 21,unchanged,"Fish of the genus Euthynnus, other than the skipjack or stripe-bellied bonitos (Euthynnus (Katsuwonus) pelamis) mentioned in subheading 0302 33 and other than Kawakawa (Euthynnus affinis) mentioned in subheading 0302 49, for the industrial manufacture of products of heading 1604, excluding edible fish offal of subheadings 0302 91 to 0302 99, fresh or chilled","As indicated in the Oceanic Developpement survey, this species are treated the same way as skipjack (whole, ungutted)",1.00
1369/2020,2021,0302 89 29,unchanged,"Fish of the genus Euthynnus, other than the skipjack or stripe-bellied bonitos (Euthynnus (Katsuwonus) pelamis) mentioned in subheading 0302 33 and other than Kawakawa (Euthynnus affinis) mentioned in subheading 0302 49, other (excl. 0302 89 21),  excluding edible fish offal of subheadings 0302 91 to 0302 99, fresh or chilled",Same assumption as for 03026921,1.00
1369/2020,2021,0302 89 31,unchanged,"Fresh or chilled redfish ""Sebastes marinus""","According to the trade information, the most part of Sebastes marinus is traded whole, but some are gutted. The proposed CF is 1,07 identified in Finfish study 2011 by AIPCE-CEP",1.07
1369/2020,2021,0302 89 39,unchanged,"Fresh or chilled redfish ""Sebastes spp."" (excl. Sebastes marinus)",Same assumption as for 0302 69 31,1.07
1369/2020,2021,0302 89 40,unchanged,"Fresh or chilled ray''s bream ""Brama spp.""",Oceanic Developpement survey proposes to use the CF used in South Africa for gutted with head form of presentation,1.16
1369/2020,2021,0302 89 50,unchanged,"Fresh or chilled monkfish ""Lophius spp.""","As identified in the Oceanic Developpement survey, fresh monk is exported mostly gutted. The study of 1996 identified CF 1,25 based on the work of MAAF (DEFA) UK. ",1.25
1369/2020,2021,0302 89 60,unchanged,"Fresh or chilled pink cusk-eel ""Genypterus blacodes""","The Oceanic Developpement survey does not identify any information on this species regarding trade as fresh. It is assumed that it is traded whole, ungutted. ",1.00
1369/2020,2021,0302 89 90,unchanged,"Other  fish (excl. 0302 11 10 to 0302 89 60), excluding edible fish offal of subheadings 0302 91 to 0302 99, fresh or chilled",same assumption as for 0302 69 99,1.17
1369/2020,2021,0302 91 00,unchanged,"Livers, roes and milt,  fresh or chilled","These products are considered as by-products. To avoid double counting, by-products should be excluded from the calculation to live weight, or seen in relation to CN8-codes anticipated to cover the main-product. Thus CF 0,00. ",0.00
1369/2020,2021,0302 92 00,unchanged,"Shark fins,  fresh or chilled","The yield is estimated in various litterature to 5 %, indicating a CF of 20. However, to reduce the effect of double counting with other shark products such as ""other meat"",  a CF of 10 is proposed. ",10.00
1369/2020,2021,0302 99 00,unchanged,"Fish fins, heads, tails, maws and other edible fish offal (excl. 0302 91 and 0302 92),  fresh or chilled","These products are considered as by-products. To avoid double counting, by-products should be excluded from the calculation to live weight, or seen in relation to CN8-codes anticipated to cover the main-product. Thus CF 0,00. ",0.00
1369/2020,2021,0303 11 00,unchanged,"Frozen sockeye salmon [red salmon] ""Oncorhynchus nerka""","CF 1,20 proposed by the Oceanic Developpement survey which is the one used in Canada is not representative both due to small volumes cought and exported  by Canada and also due to a special trade arrangements with the USA. The USA yields should be taken into account as the main supplier. The proposed CF 1,30 is a mean value of CFs ranging from 1.08 to 1.35 depending on whether the fish is headed or not. Based on the trade knowledge, the majority is headed. ",1.30
1369/2020,2021,0303 12 00,unchanged,"Frozen Pacific salmon ""Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus"" (excl. sockeye salmon [red salmon] ""Oncorhynchus nerka"")",Same assumption as for 0303 11 00,1.30
1369/2020,2021,0303 13 00,unchanged,"Frozen Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho""","As identified in the Oceanic Developpement survey, the export is mostly gutted products with Norway as the main exporter. The proposed CF is an average of CFs used in Norway and UK. ",1.16
1369/2020,2021,0303 14 10,unchanged,"Frozen trout ""Oncorhynchus apache and Oncorhynchus chrysogaster""","The CF proposed is the one used in Norway for gutted trout, as identified in the Oceanic Developpement survey.",1.20
1369/2020,2021,0303 14 20,unchanged,"Frozen trout of the species ""Oncorhynchus mykiss"", with heads on and gills on, gutted, weighing > 1,2 kg each, or with heads off, gilled and gutted, weighing > 1 kg each","As identified in the Oceanic Developpement survey for item  0303 21 90, the predominant presentation form is gutted, head on and the proposed CF is the one used in UK for the species dominating in this categoty Salmon Trutta",1.13
1369/2020,2021,0303 14 90,unchanged,"Frozen trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita and Oncorhynchus gilae"" (excl. of the species ""Oncorhynchus mykiss"", with heads on and gills on, gutted, weighing > 1,2 kg each, or with heads off, gilled and gutted, weighing > 1 kg each)","As identified in the Oceanic Developpement survey for item  0303 21 90, the predominant presentation form is gutted, head on and the proposed CF is the one used in UK for the species dominating in this categoty Salmon Trutta",1.13
1369/2020,2021,0303 19 00,unchanged,"Frozen salmonidae (excl. Pacific salmon, Atlantic salmon, Danube salmon and trout)","As proposed in the Oceanic Developpement survey, the CF is calculated as an average for these species. ",1.18
1369/2020,2021,0303 23 00,unchanged,"Frozen tilapia ""Oreochromis spp.""",Same assumption as for 0303 79 19,1.12
1369/2020,2021,0303 24 00,unchanged,"Frozen catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.""",Same assumption as for 0303 79 19,1.12
1369/2020,2021,0303 25 00,unchanged,"Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys
spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), excluding edible fish offal of subheadings 0303 91 to 0303 99, frozen",We assume that this species is traded whole. The same assumption is made by the Oceanic Developpement survey. ,1.00
1369/2020,2021,0303 26 00,unchanged,"Frozen eels ""Anguilla spp.""","As indicated in the Oceanic Developpement survey, this species is traded whole, unprepared, thus CF 1,00",1.00
1369/2020,2021,0303 29 00,unchanged,"Frozen, Nile perch (Lates niloticus) and snakeheads (Channa spp.)",Same assumption as for 0303 79 19,1.12
1369/2020,2021,0303 31 10,unchanged,"Frozen lesser or Greenland halibut ""Reinhardtius hippoglossoides""","As identified in the Oceanic Developpement survey, the information found on the trade of this species as frozen point out that the headed form is predominating. The proposed CF is an average used in Germany, Poland, Greenland and Norway",1.34
